type,augmented,depth,width,epochs,batch_size,learning_rate,mse_train,mse_train_aug,mse_val,mse_val_aug,mse_test,mse_test_aug
fcnn,False,1,16,1000,32,0.0001,0.03426467627286911,0.03992106020450592,0.026774825528264046,0.0416555181145668,0.03231009468436241,0.03992334008216858
fcnn,True,1,16,1000,32,0.0001,0.02712414227426052,0.026460522785782814,0.020988859236240387,0.0280868262052536,0.02847370132803917,0.02823449671268463
eqv,False,1,4,1000,32,0.0001,0.034864213317632675,0.03386608883738518,0.02608681470155716,0.03491593524813652,0.035674113780260086,0.03567411005496979
eqv,True,1,4,1000,32,0.0001,0.01813916675746441,0.017514454200863838,0.012095613405108452,0.01761196181178093,0.023792821913957596,0.023792820051312447
fcnn,False,1,4,1000,32,0.0001,0.046747688204050064,0.05142083391547203,0.04151392728090286,0.05345736816525459,0.050113577395677567,0.055051062256097794
fcnn,True,1,4,1000,32,0.0001,0.03574385866522789,0.034454021602869034,0.022222552448511124,0.03782142326235771,0.033120617270469666,0.03493436425924301
fcnn,False,1,16,1000,32,0.0001,0.03125819191336632,0.03719569742679596,0.022328628227114677,0.0394410714507103,0.028737511485815048,0.03735947608947754
fcnn,True,1,16,1000,32,0.0001,0.023961609229445457,0.022526584565639496,0.015938905999064445,0.02394183725118637,0.025432787835597992,0.025225048884749413
eqv,False,1,4,1000,32,0.0001,0.03532798960804939,0.034380264580249786,0.02639213763177395,0.03476483002305031,0.03731400519609451,0.037314001470804214
eqv,True,1,4,1000,32,0.0001,0.017999866977334023,0.017381057143211365,0.012006952427327633,0.017471106722950935,0.023891545832157135,0.023891542106866837
fcnn,False,1,4,1000,32,0.0001,0.041729480028152466,0.04752925783395767,0.0353514738380909,0.04840092360973358,0.04651753604412079,0.050953902304172516
fcnn,True,1,4,1000,32,0.0001,0.03673870861530304,0.035319890826940536,0.022048186510801315,0.03875276818871498,0.033159565180540085,0.035612259060144424
fcnn,False,1,16,1000,32,0.0001,0.03315573185682297,0.038969043642282486,0.026083074510097504,0.041676346212625504,0.03086790256202221,0.038886234164237976
fcnn,True,1,16,1000,32,0.0001,0.024346303194761276,0.023299550637602806,0.016843600198626518,0.02434198558330536,0.026409998536109924,0.02567625790834427
eqv,False,1,4,1000,32,0.0001,0.07406577467918396,0.07298275083303452,0.0631663054227829,0.07272235304117203,0.07889604568481445,0.07889604568481445
eqv,True,1,4,1000,32,0.0001,0.018058521673083305,0.017441079020500183,0.012070941738784313,0.01752287894487381,0.02402198314666748,0.02402198314666748
fcnn,False,1,4,1000,32,0.0001,0.03202603757381439,0.0385979600250721,0.029710181057453156,0.03912277892231941,0.03635524585843086,0.04111452400684357
fcnn,True,1,4,1000,32,0.0001,0.025723567232489586,0.024279067292809486,0.01843191310763359,0.02520199678838253,0.027159234508872032,0.026378417387604713
fcnn,False,1,16,1000,32,0.0001,0.032542742788791656,0.038116972893476486,0.02505096048116684,0.03891199827194214,0.03092206083238125,0.03864675387740135
fcnn,True,1,16,1000,32,0.0001,0.022603455930948257,0.021293843165040016,0.015543853864073753,0.023296475410461426,0.02563551999628544,0.024724604561924934
eqv,False,2,4,1000,32,0.0001,0.024464409798383713,0.0235933568328619,0.017016075551509857,0.024724891409277916,0.026963485404849052,0.026963485404849052
eqv,True,2,4,1000,32,0.0001,0.014916928485035896,0.01439196802675724,0.009975959546864033,0.014613911509513855,0.022850364446640015,0.022850364446640015
fcnn,False,2,4,1000,32,0.0001,0.025366274639964104,0.031949277967214584,0.015954729169607162,0.03101271763443947,0.02418738231062889,0.033788230270147324
fcnn,True,2,4,1000,32,0.0001,0.021161934360861778,0.018378425389528275,0.016574833542108536,0.020228151232004166,0.027474861592054367,0.02359183318912983
fcnn,False,2,16,1000,32,0.0001,0.024094942957162857,0.030948705971240997,0.018608106300234795,0.03237535059452057,0.023887109011411667,0.03268775716423988
fcnn,True,2,16,1000,32,0.0001,0.015516113489866257,0.015657443553209305,0.01057902816683054,0.01584615930914879,0.02292298525571823,0.02322692982852459
eqv,False,2,4,1000,32,0.0001,0.028184445574879646,0.027252458035945892,0.02036948874592781,0.028620246797800064,0.029713591560721397,0.029713589698076248
eqv,True,2,4,1000,32,0.0001,0.016668058931827545,0.01608666405081749,0.011180777102708817,0.016317056491971016,0.02342434599995613,0.023424344137310982
fcnn,False,2,4,1000,32,0.0001,0.02788659743964672,0.033444590866565704,0.021632913500070572,0.03566119074821472,0.026366695761680603,0.035302720963954926
fcnn,True,2,4,1000,32,0.0001,0.034334439784288406,0.03373651206493378,0.029204340651631355,0.03516367822885513,0.036286383867263794,0.0352807492017746
fcnn,False,2,16,1000,32,0.0001,0.024014953523874283,0.030985159799456596,0.01749851368367672,0.03175981342792511,0.02333296462893486,0.032186444848775864
fcnn,True,2,16,1000,32,0.0001,0.01517410296946764,0.015916302800178528,0.010293105617165565,0.0160658061504364,0.022008584812283516,0.023227015510201454
eqv,False,2,4,1000,32,0.0001,0.02853100746870041,0.0276075080037117,0.020804883912205696,0.028980854898691177,0.03003779426217079,0.03003779426217079
