,mfc1,mfc2,mfc3,mfc4,x1,y1,s1,x2,y2,s2,x3,y3,s3,n,split
100.0,0.125069171190262,0.294409573078156,0.255492657423019,0.134744852781296,0.956475,0.05965,0.3,0.942175,0.563175,0.6,,,,2,train
101.0,0.0431650057435036,0.156771197915077,0.0381678268313408,0.0377324372529984,0.871225,0.1708,0.45,,,,,,,1,train
102.0,0.110917083919048,0.248327702283859,0.11254221946001,0.162955239415169,0.85665,0.0197,0.45,0.219075,0.687175,0.45,0.813475,0.603225,0.3,3,train
104.0,0.1354820728302,0.24681943655014,0.209139421582222,0.135426074266434,0.82515,0.470275,0.6,,,,,,,1,train
106.0,0.427629560232162,0.17210453748703,0.140453442931175,0.232576444745064,0.239525,0.070275,0.6,0.319475,0.867525,0.45,,,,2,train
107.0,0.136656045913696,0.194564700126648,0.0950924158096313,0.117631301283836,0.89525,0.24835,0.45,0.2174,0.440975,0.45,,,,2,train
108.0,0.0152336042374372,0.0167863313108683,0.011085195466876,0.0676132366061211,0.164375,0.931475,0.3,,,,,,,1,train
109.0,0.367460697889328,0.427457869052887,0.377149969339371,0.513806164264679,0.714625,0.375175,0.6,0.311875,0.518025,0.45,0.32875,0.7724,0.6,3,train
110.0,0.0967509150505066,0.129470571875572,0.202783435583115,0.11680668592453,0.591475,0.606125,0.45,0.935825,0.70175,0.45,,,,2,train
111.0,0.32337686419487,0.406495869159698,0.590547204017639,0.345461905002594,0.53835,0.4326,0.6,0.83255,0.6915,0.6,0.823225,0.77645,0.45,3,train
112.0,0.247356086969376,0.475503593683243,0.404475957155228,0.2637799680233,0.741275,0.139675,0.6,0.699125,0.83265,0.6,,,,2,train
114.0,0.143643826246262,0.287652581930161,0.079380989074707,0.120491549372673,0.9152,0.039625,0.45,0.19115,0.352375,0.45,0.384875,0.769225,0.3,3,train
115.0,0.126212388277054,0.390397816896439,0.0962352082133293,0.0897673889994621,0.7672,0.0027,0.6,,,,,,,1,train
117.0,0.426761209964752,0.241073176264763,0.141603037714958,0.166346207261086,0.283925,0.0141,0.6,0.552525,0.207775,0.45,,,,2,train
118.0,0.206249579787254,0.227720066905022,0.514516115188599,0.305103242397308,0.289525,0.64705,0.45,0.666275,0.7457,0.6,0.9346,0.874875,0.45,3,train
119.0,0.0927309021353722,0.13930332660675,0.0765680447220802,0.0737145617604256,0.6259,0.2493,0.45,0.6302,0.4085,0.3,,,,2,train
120.0,0.198374330997467,0.311968386173248,0.228726610541344,0.200441032648087,0.902275,0.01975,0.3,0.5462,0.4866,0.6,0.9392,0.61705,0.3,3,train
121.0,0.0586835034191608,0.0782687589526176,0.319277316331863,0.0891035944223404,0.7113,0.910125,0.45,0.912625,0.899525,0.45,,,,2,train
122.0,0.214104741811752,0.282593369483948,0.216301247477531,0.207649916410446,0.225675,0.216625,0.3,0.9928,0.091175,0.3,0.566175,0.5634,0.6,3,train
123.0,0.444564908742905,0.366820394992828,0.312197595834732,0.316238582134247,0.135225,0.339375,0.6,0.781375,0.47045,0.6,,,,2,train
124.0,0.0445843823254108,0.0436914563179016,0.0494760759174824,0.0824425518512726,0.026025,0.673575,0.3,0.576425,0.7555,0.3,,,,2,train
125.0,0.144183710217476,0.163325890898705,0.328254818916321,0.198239117860794,0.471275,0.07235,0.3,0.662775,0.926025,0.6,,,,2,train
126.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
127.0,0.0348763726651669,0.0454900451004505,0.0152967292815446,0.0236972644925117,0.549475,0.030475,0.3,,,,,,,1,train
129.0,0.280632555484772,0.191510871052742,0.115200988948345,0.141521111130714,0.368775,0.179825,0.6,,,,,,,1,train
130.0,0.0627411678433418,0.0740003883838654,0.0370872020721436,0.04524951800704,0.559975,0.14785,0.3,0.470375,0.30545,0.3,,,,2,train
132.0,0.152728348970413,0.0461842529475689,0.028724629431963,0.0492545254528522,0.114575,0.19545,0.45,,,,,,,1,train
133.0,0.0292009525001049,0.630009114742279,0.0256701838225126,0.0278826337307692,0.935575,0.00575,0.6,,,,,,,1,train
134.0,0.0548065677285194,0.0451243408024311,0.0521548911929131,0.0665895566344261,0.184,0.461575,0.3,0.55655,0.81015,0.3,,,,2,train
135.0,0.0601320564746857,0.0830442383885384,0.147659420967102,0.0957769826054573,0.8416,0.7182,0.45,0.36465,0.795125,0.3,,,,2,train
136.0,0.0659953504800797,0.0640549063682556,0.0813831239938736,0.186969742178917,0.19455,0.822325,0.45,0.56855,0.84965,0.3,,,,2,train
137.0,0.169022396206856,0.074274055659771,0.0503367483615875,0.0872495844960213,0.212425,0.20015,0.3,0.08775,0.34125,0.45,,,,2,train
138.0,0.0588666200637817,0.047698400914669,0.0439890697598457,0.697454571723938,0.0793,0.61225,0.3,0.00365,0.9289,0.6,,,,2,train
139.0,0.120211593806743,0.133545070886612,0.059418823570013,0.0692534670233727,0.386525,0.203375,0.45,0.8309,0.17435,0.3,,,,2,train
141.0,0.125389784574509,0.138957947492599,0.21682371199131,0.20419055223465,0.537,0.771425,0.6,,,,,,,1,train
142.0,0.127225369215012,0.110967457294464,0.0721532255411148,0.0876681357622147,0.468475,0.041,0.3,0.40225,0.3654,0.45,,,,2,train
143.0,0.162912771105766,0.15586806833744,0.165923491120338,0.3485067486763,0.484225,0.39825,0.45,0.193475,0.936625,0.45,0.3514,0.85355,0.45,3,train
145.0,0.111519195139408,0.542690277099609,0.136798337101936,0.110020868480205,0.875275,0.05955,0.6,0.8834,0.582725,0.3,0.510375,0.77555,0.3,3,train
146.0,0.0248998142778873,0.0388363413512707,0.188321366906166,0.0344824865460396,0.9235,0.8693,0.45,,,,,,,1,train
147.0,0.305651009082794,0.334384113550186,0.379178434610367,0.526628196239471,0.8474,0.360225,0.3,0.581725,0.5801,0.6,0.279875,0.798975,0.6,3,train
148.0,0.177939474582672,0.577809453010559,0.285019904375076,0.211905494332314,0.8448,0.0407,0.6,0.93685,0.687975,0.45,0.457825,0.917675,0.45,3,train
149.0,0.284003257751465,0.366356432437897,0.321868777275085,0.580180525779724,0.71055,0.391525,0.6,0.714725,0.64395,0.3,0.15135,0.825325,0.6,3,train
150.0,0.050743255764246,0.0753237307071686,0.110333628952503,0.0611430592834949,0.7978,0.6495,0.45,,,,,,,1,train
151.0,0.574966192245483,0.141679421067238,0.12566265463829,0.248631343245506,0.14145,0.05815,0.6,0.1183,0.56845,0.45,0.113675,0.8309,0.3,3,train
152.0,0.0400050766766071,0.0243393443524837,0.0159016437828541,0.0348653793334961,0.129675,0.4406,0.3,,,,,,,1,train
153.0,0.153309166431427,0.168189272284508,0.228390097618103,0.285655558109283,0.802475,0.394925,0.3,0.425,0.81865,0.6,,,,2,train
154.0,0.018680302426219,0.0288067180663347,0.0484367907047272,0.0255034118890762,0.7668,0.758875,0.3,,,,,,,1,train
155.0,0.476428002119064,0.380983114242554,0.374801397323608,0.960527837276459,0.22775,0.48965,0.6,0.507825,0.3982,0.6,0.041275,0.88785,0.6,3,train
156.0,0.115984894335269,0.212681844830513,0.119256809353828,0.133944749832153,0.743375,0.079075,0.45,0.841925,0.432675,0.3,0.5733,0.549925,0.45,3,train
157.0,0.566903531551361,0.463097304105759,0.186780467629433,0.226059749722481,0.1338,0.1432,0.6,0.769825,0.1321,0.6,,,,2,train
158.0,0.0747034624218941,0.0462532266974449,0.0453488603234291,0.0884874612092972,0.0153,0.3474,0.3,0.59575,0.48005,0.3,,,,2,train
159.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
160.0,0.251331806182861,0.194880127906799,0.163301825523376,0.212993279099464,0.3022,0.4421,0.6,0.9206,0.3302,0.3,,,,2,train
161.0,0.0570928491652012,0.0582739934325218,0.136357054114342,0.118264503777027,0.144225,0.802675,0.3,0.712375,0.8349,0.45,,,,2,train
162.0,0.276005208492279,0.209387943148613,0.208379432559013,0.205338343977928,0.06645,0.45815,0.3,0.40665,0.3416,0.6,0.998075,0.77385,0.3,3,train
