MFC6,MFC7,MFC8,MFC9,MFC10,MFC1,MFC2,MFC3,MFC4,MFC5,total flow rate,mfc6_residual,mfc7_residual,mfc8_residual,mfc9_residual,mfc10_residual,mfc1_residual,mfc2_residual,mfc3_residual,mfc4_residual,mfc5_residual,tot_residual_flow
0.0163,0.0274,0.0274,0.0197,0.0339,0.0171,0.0458,0.1469,0.0262,0.0117,0.3724,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0157,0.0336,0.0816,0.0769,0.031,0.0151,0.0266,0.0512,0.0531,0.0304,0.4152,0,0.0079,0.016,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0343
0.0513,0.0556,0.0313,0.0133,0.021,0.0661,0.0739,0.0315,0.0144,0.0,0.3584,0,0.0,0.0,0.0,0.0152,0.0,0.0,0.0,0.0,0.0,0.0152
0.0149,0.0368,0.0624,0.0399,0.0373,0.0124,0.029,0.0505,0.0356,0.0191,0.3379,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0307,0.0259,0.0143,0.009,0.0254,0.2111,0.0306,0.0135,0.0089,0.0,0.3694,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0124,0.0272,0.0753,0.0993,0.0459,0.0104,0.018,0.029,0.0351,0.0222,0.3748,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.048,0.0618,0.0343,0.0169,0.0311,0.0525,0.0676,0.0347,0.0169,0.009,0.3728,0,0.0,0.0,0.0,0.0255,0.0,0.0,0.0,0.0,0.0,0.0255
0.0166,0.0226,0.0156,0.0107,0.0273,0.0231,0.1934,0.0272,0.0115,0.0,0.348,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0112,0.0153,0.016,0.032,0.2046,0.0111,0.0132,0.0128,0.0238,0.0569,0.3969,0,0.0,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0161
0.0277,0.0533,0.0492,0.0257,0.0303,0.0271,0.0519,0.0572,0.0261,0.0124,0.3609,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0508,0.0552,0.0293,0.0132,0.0234,0.0702,0.0806,0.0327,0.0135,0.0,0.3689,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0175,0.0333,0.0501,0.0411,0.0311,0.0173,0.0323,0.0705,0.0495,0.0179,0.3606,0,0.0,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0161
0.1148,0.0585,0.0239,0.0091,0.0,0.0793,0.049,0.0221,0.0087,0.0,0.3654,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0,0.0114,0.0108,0.0168,0.0512,0.0,0.0095,0.0089,0.0223,0.215,0.3459,0,0.0,0.0,0.0,0.0218,0.0,0.0,0.0,0.0,0.0,0.0218
0.033,0.0506,0.0437,0.0246,0.0267,0.0415,0.1077,0.082,0.028,0.0127,0.4505,0,0.01,0.0,0.0,0.0173,0.0,0.0,0.0,0.0,0.0,0.0273
0.0262,0.0335,0.0263,0.0165,0.0137,0.0367,0.1696,0.0478,0.018,0.0105,0.3988,0,0.0113,0.0096,0.0,0.0143,0.0,0.0,0.0,0.0095,0.0116,0.0563
0.0268,0.0553,0.0655,0.0323,0.0277,0.0256,0.0446,0.054,0.0302,0.0146,0.3766,0,0.0,0.0,0.0,0.0167,0.0,0.0,0.0,0.0,0.0,0.0167
0.0137,0.0246,0.0515,0.1467,0.05,0.0099,0.018,0.0274,0.0361,0.0284,0.4063,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0454,0.0336,0.0176,0.0091,0.0268,0.1701,0.0415,0.0148,0.0085,0.0,0.3674,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0561,0.0422,0.0232,0.0113,0.0214,0.1212,0.0583,0.021,0.0118,0.0,0.3665,0,0.0,0.0,0.0,0.0152,0.0,0.0,0.0,0.0,0.0,0.0152
0.0,0.0103,0.0195,0.084,0.1371,0.0,0.0088,0.0169,0.0391,0.0622,0.3779,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0649,0.068,0.0296,0.0142,0.0271,0.0607,0.0557,0.0278,0.0136,0.0,0.3616,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0762,0.0448,0.0212,0.0,0.0184,0.109,0.0468,0.0175,0.0091,0.0,0.343,0,0.0,0.0,0.0,0.0152,0.0,0.0,0.0,0.0,0.0,0.0152
0.03,0.0636,0.0696,0.0344,0.0142,0.0296,0.0535,0.0609,0.0322,0.0147,0.4027,0,0.0116,0.0094,0.0,0.0114,0.0,0.0103,0.0,0.0008,0.0,0.0435
0.0963,0.0565,0.0236,0.0088,0.0,0.094,0.0538,0.0225,0.002,0.0,0.3575,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0542,0.0604,0.0292,0.0142,0.0279,0.059,0.0628,0.0302,0.0143,0.0,0.3522,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0,0.0151,0.0264,0.1177,0.0943,0.0,0.0121,0.0207,0.0419,0.049,0.3772,0,0.0,0.0,0.0,0.02465,0.0,0.0,0.0,0.0,0.0,0.02465
0.1474,0.066,0.0225,0.01,0.0,0.054,0.0398,0.0188,0.0088,0.0,0.3673,0,0.0116,0.0094,0.0,0.0114,0.0,0.0103,0.0,0.0008,0.0,0.0435
0.0787,0.1346,0.0375,0.0152,0.0,0.0446,0.043,0.0259,0.0132,0.0,0.3927,0,0.0116,0.0094,0.0,0.0114,0.0,0.0103,0.0,0.0008,0.0,0.0435
0.0,0.0152,0.0225,0.0507,0.0744,0.0,0.0129,0.0219,0.0717,0.0921,0.3614,0,0.0,0.0,0.0,0.0167,0.0,0.0,0.0,0.0,0.0,0.0167
0.0589,0.0895,0.0464,0.0171,0.0092,0.0515,0.0626,0.0403,0.0166,0.0,0.3921,0,0.0113,0.0096,0.0,0.0143,0.0,0.0,0.0,0.0095,0.0116,0.0563
0.015,0.0378,0.1463,0.0637,0.0184,0.014,0.0238,0.0344,0.0306,0.0183,0.4023,0,0.0116,0.0094,0.0,0.0114,0.0,0.0103,0.0,0.0008,0.0,0.0435
0.0101,0.0146,0.017,0.0366,0.0716,0.0114,0.0161,0.0177,0.0473,0.2085,0.4509,0,0.0117,0.0,0.0,0.0011,0.0036,0.0131,0.0,0.0,0.0,0.0295
0.0,0.0109,0.0125,0.0309,0.1993,0.0,0.008,0.0091,0.0236,0.0642,0.3585,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0,0.0169,0.035,0.0995,0.0812,0.0,0.0129,0.0306,0.0686,0.062,0.4067,0,0.0,0.0,0.0,0.0255,0.0,0.0,0.0,0.0,0.0,0.0255
0.0,0.0107,0.014,0.0241,0.0427,0.0,0.0089,0.0178,0.1681,0.0404,0.3267,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0693,0.0529,0.0264,0.0131,0.0109,0.1224,0.0687,0.028,0.0132,0.0,0.4049,0,0.0117,0.0,0.0,0.0011,0.0036,0.0131,0.0,0.0,0.0,0.0295
0.072,0.0492,0.0217,0.0098,0.0211,0.0869,0.0485,0.0183,0.01,0.0,0.3375,0,0.0,0.0,0.0,0.0167,0.0,0.0,0.0,0.0,0.0,0.0167
0.0236,0.0544,0.1029,0.058,0.0232,0.024,0.0424,0.0613,0.0456,0.0228,0.4582,0,0.0117,0.0,0.0,0.0011,0.0036,0.0131,0.0,0.0,0.0,0.0295
