Landkreis,Einwohner,Income
"Salzgitter, Stadt ",104.948,19.585
"Lübeck, Stadt ",217.198,19.575
"Potsdam, Stadt ",178.089,19.55
Lüchow-Dannenberg ,48.424,19.529
Hildburghausen ,63.553,19.529
Greiz ,98.159,19.502
Bautzen ,300.88,19.467
Heinsberg ,254.322,19.448
Grafschaft Bentheim ,136.511,19.439
Havelland ,161.909,19.437
Mittelsachsen ,306.185,19.433
Teltow-Fläming ,168.296,19.408
Märkisch-Oderland ,194.328,19.407
"Ludwigshafen am Rhein, Stadt ",171.061,19.39
Saalfeld-Rudolstadt ,104.142,19.356
Vogtlandkreis ,227.796,19.311
"Dessau-Roßlau, Stadt ",81.237,19.294
Altmarkkreis Salzwedel ,83.765,19.255
Spree-Neiße ,114.429,19.252
"Oldenburg, Stadt ",168.21,19.244
Rostock ,215.113,19.236
Erzgebirgskreis ,337.696,19.216
"Augsburg, Stadt ",295.135,19.203
Oder-Spree ,178.658,19.188
Ludwigslust-Parchim ,212.618,19.149
Eichsfeld ,100.38,19.127
Wittenberg ,125.84,19.112
Merzig-Wadern ,103.243,19.067
"Eisenach, Stadt ",42.37,19.062
Weimarer Land ,81.947,19.053
Saale-Orla-Kreis ,80.868,19.008
Nordsachsen ,197.673,18.98
"Dortmund, Stadt ",587.01,18.946
"Neumünster, Stadt ",79.487,18.922
"Dresden, Stadt ",554.649,18.922
Saale-Holzland-Kreis ,83.051,18.992
"Gera, Stadt ",94.152,18.891
"Kassel, Stadt ",201.585,18.89
"Delmenhorst, Stadt ",77.607,18.845
Altenburger Land ,90.118,18.822
"Kiel, Stadt ",247.548,18.81
"Kaiserslautern, Stadt ",99.845,18.796
Sömmerda ,69.655,18.79
Harz ,214.446,18.785
Gotha ,135.452,18.78
Oberspreewald-Lausitz ,110.476,18.699
Ilm-Kreis ,106.622,18.691
Burgenlandkreis ,180.19,18.674
Anhalt-Bitterfeld ,159.854,18.669
"Weimar, Stadt ",65.09,18.635
Leer ,169.809,18.614
"Erfurt, Stadt ",213.699,18.601
"Emden, Stadt ",50.195,18.593
"Flensburg, Stadt ",89.504,18.481
Nordwestmecklenburg ,156.729,18.475
"Schwerin, Stadt ",95.818,18.378
Prignitz ,76.508,18.335
Görlitz ,254.894,18.287
Vorpommern-Greifswald ,236.697,18.259
Unstrut-Hainich-Kreis ,102.912,18.213
Salzlandkreis ,190.56,18.207
"Magdeburg, Stadt ",238.697,18.206
Mansfeld-Südharz ,136.249,18.203
Elbe-Elster ,102.638,18.189
"Oberhausen, Stadt ",210.829,18.181
Mecklenburgische Seenplatte ,259.13,18.062
"Wilhelmshaven, Stadt ",76.278,18.047
"Jena, Stadt ",111.407,18.03
"Hamm, Stadt ",179.111,18.006
Ostprignitz-Ruppin ,99.078,17.924
Stendal ,111.982,17.921
Nordhausen ,83.822,17.911
"Rostock, Stadt ",208.886,17.771
"Leipzig, Stadt ",587.857,17.77
"Bremerhaven, Stadt ",113.634,17.741
Kyffhäuserkreis ,75.009,17.708
"Offenbach am Main, Stadt ",128.744,17.687
Uckermark ,119.552,17.628
"Brandenburg an der Havel, Stadt ",72.124,17.609
"Herne, Stadt ",156.374,17.579
"Frankfurt (Oder), Stadt ",57.873,17.381
Vorpommern-Rügen ,224.684,17.303
"Halle (Saale), Stadt ",239.257,17.218
"Duisburg, Stadt ",498.59,16.881
"Gelsenkirchen, Stadt ",260.654,16.203
