Landkreis,Income,Cases,Deaths,LK_Einwohner,Cases_Per_Million,Area,Avg_Age,Std_dev,<30,30-65,>65,Density,west(0)/east(1)
Donnersbergkreis,21375.0,137.0,6.0,75101.0,1824.2100637807753,645.41,45.84210596396852,24.2016192672116,21635.0,37129.0,16337.0,116.36169256751523,0.0
Dortmund,18945.999999999996,869.0,9.0,587010.0,1480.3836391202876,280.71,44.059232381049725,24.2431388348561,189481.0,277320.0,120209.0,2091.161697125147,0.0
Dresden,18922.0,625.0,10.0,554649.0,1126.8387755138835,328.48,43.61338522200527,25.003394973180374,182602.0,250849.0,121198.0,1688.5320263029712,1.0
Duisburg,16881.0,1393.0,57.0,498590.0,2793.8787380412764,232.8,44.016929741872076,24.43346134640343,161582.0,235384.0,101624.0,2141.7096219931273,0.0
Düren,20526.0,605.0,39.0,263722.0,2294.0824049567345,941.77,45.031243127232464,24.293442067088883,80811.0,126876.0,56035.0,280.02803232211687,0.0
Düsseldorf,24881.999999999996,1630.0,36.0,619294.0,2632.02937538552,217.41,43.54809751103676,23.84828505458429,192244.0,307431.0,119619.0,2848.507428361161,0.0
Ebersberg,26614.0,518.0,5.0,142142.0,3644.243080862799,549.4,43.269818209959055,24.163134509386968,45410.0,70171.0,26561.0,258.7222424463051,0.0
Eichsfeld,19127.0,159.0,9.0,100380.0,1583.9808726838016,943.07,46.544784817692765,24.658430991578687,26637.0,49988.0,23755.0,106.43960681603699,1.0
Eichstätt,23779.0,302.0,18.0,132341.0,2281.9836634149656,1213.86,42.50762424343174,23.898417279012765,44052.0,65086.0,23203.0,109.02492873972288,0.0
Eifelkreis Bitburg-Prüm,21403.000000000004,187.0,5.0,98561.0,1897.3021783464046,1626.95,44.960400158277615,24.257503298315164,29913.0,48260.0,20388.0,60.580226804757366,0.0
Eisenach,19062.0,30.0,2.0,42370.0,708.0481472740147,104.17,47.79204625914562,25.005348363273974,11011.0,20394.0,10965.0,406.7389843525007,1.0
Elbe-Elster,18189.0,80.0,3.0,102638.0,779.4384146222646,1899.57,50.368835129289344,24.484747079001504,22174.0,51762.0,28702.0,54.032228346415245,1.0
Emden,18593.0,19.0,0.0,50195.0,378.5237573463492,112.34,44.108496862237274,24.388891777966283,16586.0,22962.0,10647.0,446.8132455047178,0.0
Emmendingen,22741.999999999996,530.0,43.0,165383.0,3204.6824643403497,679.79,44.8216412811474,24.34313577697987,50348.0,80444.0,34591.0,243.2854263816767,0.0
Emsland,20469.0,461.0,25.0,325657.0,1415.599848920797,2883.67,43.3460988094836,24.01518759955216,106490.0,157465.0,61702.0,112.93143806330127,0.0
Ennepe-Ruhr-Kreis,24220.0,462.0,14.0,324296.0,1424.624417199102,409.64,46.77980456126502,24.536455573200808,91419.0,156135.0,76742.0,791.6609706083391,0.0
Enzkreis,24829.0,667.0,21.0,198905.0,3353.35964405118,573.6,45.041268444734925,24.427031023832118,60376.0,96432.0,42097.0,346.7660390516039,0.0
Erding,24171.999999999996,627.0,11.0,137660.0,4554.699985471451,870.75,42.70817957286067,23.397169305826385,44388.0,70001.0,23271.0,158.09359747344243,0.0
Erfurt,18601.0,139.0,2.0,213699.0,650.4475921740392,269.91,44.864316164324585,24.519427251383146,64544.0,101730.0,47425.0,791.7416916750027,1.0
Erlangen,23528.000000000004,259.0,11.0,111962.0,2313.284864507601,76.96,41.85736231935835,23.659614308894355,40789.0,51388.0,19785.0,1454.8076923076924,0.0
Erlangen-Höchstadt,25135.0,245.0,11.0,136271.0,1797.888031936362,564.56,44.58598307783755,24.187553891479,40757.0,67728.0,27786.0,241.37558452600257,0.0
Erzgebirgskreis,19215.999999999996,558.0,43.0,337696.0,1652.3737325878897,1827.9,49.71792381313371,24.958768238172524,78207.0,160162.0,99327.0,184.7453361781279,1.0
Essen,20159.000000000004,917.0,41.0,583109.0,1572.604778866387,210.34,44.71512358752823,24.483818165319136,182542.0,274754.0,125813.0,2772.2211657316725,0.0
Esslingen,24908.0,1844.0,115.0,533859.0,3454.0955570665665,641.28,44.29941145508458,24.290648286599037,167215.0,257524.0,109120.0,832.4897080838324,0.0
Euskirchen,20938.000000000004,473.0,22.0,192840.0,2452.8106202032773,1248.73,45.55595312175897,24.29798873602364,56810.0,94357.0,41673.0,154.42889976215835,0.0
Flensburg,18480.999999999996,46.0,3.0,89504.0,513.9435109045405,56.74,42.992201465856276,24.28190445465739,32744.0,38772.0,17988.0,1577.4409587592527,0.0
Forchheim,23186.999999999996,207.0,4.0,116099.0,1782.9610935494707,642.83,44.8917303335946,24.025312029998123,34729.0,57887.0,23483.0,180.6060700340681,0.0
Frankenthal (Pfalz),21226.0,47.0,2.0,48561.0,967.85486295587,43.88,45.30224871810712,25.00954451952684,14884.0,22606.0,11071.0,1106.6773017319963,0.0
Frankfurt (Oder),17381.0,31.0,0.0,57873.0,535.6556598068183,147.85,48.06406268899141,24.841788963427547,15331.0,27617.0,14925.0,391.43050388907676,1.0
Frankfurt am Main,21690.0,1717.0,64.0,753056.0,2280.0429184549357,248.31,41.16481111630476,22.831801351021245,250219.0,385077.0,117760.0,3032.725222504128,0.0
Freiburg im Breisgau,21256.0,970.0,78.0,230241.0,4212.976837313945,153.04,40.957199195625456,23.31220298998917,86829.0,105434.0,37978.0,1504.4498170412965,0.0
Freising,23210.0,966.0,43.0,179116.0,5393.153040487729,799.85,41.72497431831886,23.1118797151558,60776.0,90103.0,28237.0,223.93698818528475,0.0
Freudenstadt,23982.0,570.0,38.0,117935.0,4833.170814431679,870.39,44.67496502310595,24.351318321252403,36832.0,56888.0,24215.0,135.49673135031423,0.0
Freyung-Grafenau,20108.0,195.0,12.0,78355.0,2488.6733456703464,983.87,45.97776785144534,23.871869852844927,22636.0,38749.0,16970.0,79.63958653074084,0.0
Friesland,20242.0,34.0,2.0,98460.0,345.31789559211865,609.53,47.64585110704855,24.940233710162822,27338.0,45403.0,25719.0,161.53429691729693,0.0
Fulda,22038.0,380.0,12.0,222584.0,1707.2206447902815,1380.41,44.66045178449484,24.521580430104922,70555.0,105134.0,46895.0,161.2448475452945,0.0
Fürstenfeldbruck,25055.0,907.0,35.0,219320.0,4135.509757432063,434.8,44.61191865766916,24.635255871717398,67540.0,104542.0,47238.0,504.4158233670653,0.0
Fürth,23672.033969037468,905.0,96.0,245135.0,3691.843270034879,370.79,44.692579598996474,24.03268304146119,72845.0,122124.0,50166.0,661.1154561881388,0.0
Garmisch-Partenkirchen,23933.000000000004,288.0,18.0,88467.0,3255.4511851876973,1012.21,46.97770355047645,24.912147688837475,25313.0,40981.0,22173.0,87.39984785765799,0.0
Gelsenkirchen,16203.0,473.0,16.0,260654.0,1814.6661858248867,104.94,44.103871415746546,24.5022500047203,84056.0,122873.0,53725.0,2483.838383838384,0.0
Gera,18891.0,254.0,19.0,94152.0,2697.7653156597844,152.19,49.60926480584587,25.12764426972618,22693.0,44183.0,27276.0,618.6477429528878,1.0
Germersheim,22212.0,147.0,5.0,129075.0,1138.8727484020917,463.32,44.47411582413326,23.98686192482717,39277.0,64183.0,25615.0,278.5871535871536,0.0
Gießen,20153.0,247.0,4.0,268876.0,918.6390752614589,854.56,43.18993699698002,23.97084418882091,93796.0,123028.0,52052.0,314.6367721400487,0.0
Gifhorn,23101.0,158.0,4.0,175920.0,898.1355161437017,1567.58,44.51847430650296,24.281204104709843,53415.0,87241.0,35264.0,112.22393753428852,0.0
Goslar,20269.000000000004,261.0,25.0,137014.0,1904.914826222138,966.72,48.70009634051995,24.794076098438115,36986.0,62609.0,37419.0,141.7308010592519,0.0
Gotha,18780.0,309.0,30.0,135452.0,2281.2509228361337,936.08,47.79747807341346,24.521295591228206,33918.0,67567.0,33967.0,144.70130758054867,1.0
Grafschaft Bentheim,19439.0,249.0,18.0,136511.0,1824.0288328413094,981.79,44.27575433481551,24.39952300736921,43310.0,65149.0,28052.0,139.04297252976707,0.0
Greiz,19502.0,664.0,48.0,98159.0,6764.535091025785,845.98,50.81976690879084,24.599016988410014,20862.0,48655.0,28642.0,116.02992978557413,1.0
Groß-Gerau,20738.000000000004,546.0,14.0,274526.0,1988.8826559233005,453.03,43.3341031450573,24.117301063786353,88262.0,133486.0,52778.0,605.9775290819592,0.0
Göppingen,23985.0,784.0,39.0,257253.0,3047.583507286601,642.34,44.97562321916557,24.534996978095776,78916.0,122873.0,55464.0,400.49350811096923,0.0
Görlitz,18287.0,269.0,23.0,254894.0,1055.3406514080364,2111.42,50.18182656319882,25.1761534484792,58951.0,120647.0,75296.0,120.72159968173078,1.0
Günzburg,23362.0,238.0,4.0,125747.0,1892.689288810071,762.4,43.99899401178557,23.999335896562787,39734.0,61640.0,24373.0,164.93572927597063,0.0
Gütersloh,24271.0,1085.0,20.0,364083.0,2980.089704820055,969.21,43.87861833702755,24.31145734975021,116695.0,176355.0,71033.0,375.6492401027641,0.0
Hagen,19774.0,360.0,13.0,188814.0,1906.6382789411803,160.45,45.110611501265794,24.868570589501093,58953.0,87876.0,41985.0,1176.7778124026177,0.0
Halle (Saale),17218.0,362.0,11.0,239257.0,1513.0173829814803,135.02,45.08810609511947,25.150948324011356,76539.0,104966.0,57752.0,1772.011553843875,1.0
