Landkreis,Income,Cases,Deaths,LK_Einwohner,Cases_Per_Million,Area,Avg_Age,Std_dev,<30,30-65,>65,Density,west(0)/east(1)
Unterallgäu,24933.000000000004,271.0,14.0,144041.0,1881.408765559806,1229.59,44.62775529189606,24.443041868488102,45003.0,68768.0,30270.0,117.14555258256819,0.0
Vechta,21502.0,346.0,10.0,141598.0,2443.537338097996,814.2,41.26073814601901,23.73388847544932,51093.0,67658.0,22847.0,173.91058707934167,0.0
Verden,23066.0,237.0,3.0,136792.0,1732.5574595005558,789.39,45.30599377156559,24.6716638850613,41223.0,65076.0,30493.0,173.28823521959995,0.0
Viersen,22491.999999999996,724.0,37.0,298935.0,2421.931189054477,563.28,46.09125562413234,24.29458096225725,85798.0,147053.0,66084.0,530.7040903280785,0.0
Vogelsbergkreis,21608.0,121.0,5.0,105878.0,1142.8247605734903,1458.91,47.507041122801716,24.419452456881846,28619.0,51507.0,25752.0,72.57335956296139,0.0
Vogtlandkreis,19311.0,503.0,21.0,227796.0,2208.1160336441376,1412.43,50.37689643365116,24.962378153701227,51420.0,108116.0,68260.0,161.2794970370213,1.0
Vorpommern-Greifswald,18259.0,139.0,7.0,236697.0,587.2486765780724,3945.58,48.01121264739308,24.539025696670773,60420.0,116955.0,59322.0,59.99041965946705,1.0
Vorpommern-Rügen,17303.0,89.0,2.0,224684.0,396.11187267451174,3214.45,48.94169144220327,24.4564938022822,52830.0,113437.0,58417.0,69.89811631849928,1.0
Vulkaneifel,21291.999999999996,119.0,5.0,60603.0,1963.5991617576688,911.64,47.25984687226705,24.52735121718443,16907.0,29035.0,14661.0,66.47689877583257,0.0
Waldeck-Frankenberg,21041.0,174.0,5.0,156953.0,1108.6121322943811,1848.7,46.35268201308672,24.59869315979494,45557.0,75090.0,36306.0,84.89911829934549,0.0
Waldshut,23761.999999999996,311.0,35.0,170619.0,1822.774720283204,1131.1,44.65333579495836,24.559421240983824,53222.0,81270.0,36127.0,150.8434267527186,0.0
Warendorf,22576.0,638.0,20.0,277783.0,2296.756820971766,1319.42,44.83301713927778,24.522302615078782,85761.0,133448.0,58574.0,210.5341741068045,0.0
Wartburgkreis,19832.0,83.0,2.0,123025.0,674.6596220280431,1307.43,48.38241007925218,24.40863353533075,29355.0,62421.0,31249.0,94.0968158907169,1.0
Weilheim-Schongau,23691.0,355.0,3.0,135348.0,2622.86845760558,966.3,45.03020362325265,24.54199466987167,41365.0,64804.0,29179.0,140.06830176963678,0.0
Weimar,18635.0,69.0,0.0,65090.0,1060.0706713780917,84.48,44.99371639268705,24.858334654858627,20056.0,30089.0,14945.0,770.4782196969696,1.0
Weimarer Land,19053.0,74.0,4.0,81947.0,903.0226853942182,804.48,47.18779821103884,24.324989534645905,20572.0,41765.0,19610.0,101.863315433572,1.0
Weißenburg-Gunzenhausen,22044.0,332.0,25.0,94393.0,3517.209962603159,970.78,45.37841259415423,24.43712687814625,28306.0,45550.0,20537.0,97.23418282206062,0.0
Werra-Meißner-Kreis,19785.0,225.0,16.0,101017.0,2227.3478721403326,1024.83,47.75499173406456,24.731089363198116,27901.0,47288.0,25828.0,98.56951884702829,0.0
Wesel,21372.0,664.0,27.0,459809.0,1444.0778671143887,1042.8,46.65037983162574,24.417355415326348,128913.0,223921.0,106975.0,440.93690065209057,0.0
Wesermarsch,20760.0,71.0,2.0,88624.0,801.137389420473,824.78,46.485799557681894,24.562667144372845,25871.0,41956.0,20797.0,107.4516840854531,0.0
Westerwaldkreis,24108.0,367.0,21.0,201597.0,1820.4635981686235,989.04,45.25364712768543,24.20023480276878,59713.0,99352.0,42532.0,203.83098762436302,0.0
Wetteraukreis,22944.000000000004,352.0,13.0,306460.0,1148.6001435750181,1100.66,45.03717614044247,24.23387351156184,91649.0,150083.0,64728.0,278.43294023585844,0.0
Wiesbaden,22928.0,463.0,21.0,278342.0,1663.4212587392487,203.87,43.49225772610673,24.416205083523376,90259.0,132479.0,55604.0,1365.2916073968706,0.0
Wilhelmshaven,18047.0,27.0,1.0,76278.0,353.968378824825,107.07,46.93523034164504,25.18401579593569,23578.0,32820.0,19880.0,712.4124404595125,0.0
Wittenberg,19112.000000000004,155.0,3.0,125840.0,1231.7228226319135,1930.45,50.40882867132867,24.561034777985913,27647.0,62289.0,35904.0,65.18687352689787,1.0
Wittmund,20270.0,41.0,0.0,56882.0,720.7904082134946,656.86,46.683107134067015,24.59787526225692,16440.0,26514.0,13928.0,86.59683950918004,0.0
Wolfenbüttel,21555.999999999996,190.0,14.0,119960.0,1583.8612870956986,724.3,46.79536095365122,24.491764437149833,33818.0,57761.0,28381.0,165.62197984260666,0.0
Wolfsburg,24083.000000000004,351.0,51.0,124151.0,2827.2023584183776,204.61,45.08435292506706,24.83317949201329,37543.0,59033.0,27575.0,606.7689751234054,0.0
Worms,20300.0,223.0,7.0,83330.0,2676.1070442817713,108.73,43.95867634705388,24.425102801214305,27177.0,39080.0,17073.0,766.3938195530212,0.0
Wuppertal,20759.0,974.0,85.0,354382.0,2748.4465915311725,168.39,44.17081426257541,24.5475397786873,114511.0,166151.0,73720.0,2104.5311479304,0.0
Würzburg,22807.2576651281,885.0,59.0,289714.0,3054.736740371539,1055.96,44.286753487922574,24.08749776821552,94444.0,135346.0,59924.0,274.3607712413349,0.0
Zollernalbkreis,25026.999999999996,1208.0,77.0,188935.0,6393.733294519279,917.58,45.60143964855638,24.499808848147445,56636.0,90633.0,41666.0,205.90575208701148,0.0
Zweibrücken,19750.999999999996,40.0,1.0,34209.0,1169.2829372387384,70.64,45.931465403841095,24.637435585081654,10231.0,16062.0,7916.0,484.2723669309173,0.0
Zwickau,19959.0,883.0,51.0,317531.0,2780.8308480116903,949.79,49.74836472659362,25.042782163448948,74655.0,150183.0,92693.0,334.31705956053446,1.0
