Landkreis,Net_needs,Gross_needs,Ded_income
"Rastatt, Landkreis",460,735,363
"Heidelberg, kreisfreie Stadt",588,830,349
"Mannheim, kreisfreie Stadt",543,849,402
Neckar-Odenwald-Kreis,481,751,424
Rhein-Neckar-Kreis,502,770,374
"Pforzheim, kreisfreie Stadt",493,786,389
"Calw, Landkreis",480,759,375
Enzkreis,458,728,365
"Freudenstadt, Landkreis",476,742,359
"Freiburg im Breisgau, kreisfreie Stadt",581,865,372
"Breisgau-Hochschwarzwald, Landkreis",496,793,394
"Emmendingen, Landkreis",519,787,380
Ortenaukreis,489,757,366
"Rottweil, Landkreis",490,741,354
Schwarzwald-Baar-Kreis,457,759,388
"Tuttlingen, Landkreis",459,753,389
"Konstanz, Landkreis",508,814,392
"Lörrach, Landkreis",535,791,360
"Waldshut, Landkreis",486,754,351
"Reutlingen, Landkreis",492,783,372
"Tübingen, Landkreis",561,825,378
Zollernalbkreis,474,737,335
"Ulm, kreisfreie Stadt",516,799,402
Alb-Donau-Kreis,444,734,400
"Biberach, Landkreis",485,752,367
Bodenseekreis,523,804,379
"Ravensburg, Landkreis",512,778,377
"Sigmaringen, Landkreis",500,727,311
"Ingolstadt, kreisfreie Stadt",457,820,437
"München, kreisfreie Stadt",595,938,450
"Rosenheim, kreisfreie Stadt",469,851,445
"Altötting, Landkreis",433,781,433
"Berchtesgadener Land, Landkreis",456,807,433
"Bad Tölz-Wolfratshausen, Landkreis",495,865,473
"Dachau, Landkreis",578,877,409
"Ebersberg, Landkreis",513,879,469
"Eichstätt, Landkreis",440,741,414
"Erding, Landkreis",475,842,457
"Freising, Landkreis",473,845,447
"Fürstenfeldbruck, Landkreis",520,898,481
"Garmisch-Partenkirchen, Landkreis",468,845,465
"Landsberg am Lech, Landkreis",500,831,434
"Miesbach, Landkreis",502,874,478
"Mühldorf am Inn, Landkreis",521,835,446
"München, Landkreis",508,909,501
"Neuburg-Schrobenhausen, Landkreis",445,783,422
"Pfaffenhofen an der Ilm, Landkreis",486,815,423
"Rosenheim, Landkreis",496,858,477
"Starnberg, Landkreis",561,914,448
"Traunstein, Landkreis",460,811,438
"Weilheim-Schongau, Landkreis",476,821,429
"Landshut, kreisfreie Stadt",474,791,403
"Passau, kreisfreie Stadt",463,771,396
"Straubing, kreisfreie Stadt",507,763,356
"Deggendorf, Landkreis",427,746,393
"Freyung-Grafenau, Landkreis",389,688,416
"Kelheim, Landkreis",439,745,370
"Landshut, Landkreis",463,743,344
"Passau, Landkreis",424,721,381
"Regen, Landkreis",466,717,337
"Rottal-Inn, Landkreis",424,725,381
"Straubing-Bogen, Landkreis",442,703,319
"Dingolfing-Landau, Landkreis",422,714,365
"Amberg, kreisfreie Stadt",422,713,364
"Regensburg, kreisfreie Stadt",506,823,399
"Weiden in der Oberpfalz, kreisfreie Stadt",443,746,399
"Amberg-Sulzbach, Landkreis",509,757,362
"Cham, Landkreis",445,739,403
"Neumarkt in der Oberpfalz, Landkreis",484,776,389
"Neustadt an der Waldnaab, Landkreis",453,721,363
"Regensburg, Landkreis",441,740,372
"Schwandorf, Landkreis",498,754,373
"Tirschenreuth, Landkreis",418,713,396
"Bamberg, kreisfreie Stadt",488,788,413
"Bayreuth, kreisfreie Stadt",439,744,382
"Coburg, kreisfreie Stadt",431,732,370
"Hof, kreisfreie Stadt",445,714,375
"Bamberg, Landkreis",419,708,373
"Bayreuth, Landkreis",426,726,381
"Coburg, Landkreis",384,703,376
"Forchheim, Landkreis",459,752,387
"Hof, Landkreis",421,694,367
"Kronach, Landkreis",412,691,359
"Kulmbach, Landkreis",452,759,382
"Lichtenfels, Landkreis",445,729,365
"Wunsiedel im Fichtelgebirge, Landkreis",423,693,347
"Ansbach, kreisfreie Stadt",613,841,385
"Erlangen, kreisfreie Stadt",546,816,392
"Fürth, kreisfreie Stadt",476,799,396
"Nürnberg, kreisfreie Stadt",547,808,369
"Schwabach, kreisfreie Stadt",424,763,403
"Ansbach, Landkreis",470,764,397
"Erlangen-Höchstadt, Landkreis",489,779,374
"Fürth, Landkreis",429,762,423
"Nürnberger Land, Landkreis",504,789,375
"Neustadt an der Aisch-Bad Windsheim, Landkreis",455,766,395
"Roth, Landkreis",480,790,426
"Weißenburg-Gunzenhausen, Landkreis",483,779,395
"Aschaffenburg, kreisfreie Stadt",449,785,418
"Schweinfurt, kreisfreie Stadt",441,747,379
"Würzburg, kreisfreie Stadt",556,789,329
"Aschaffenburg, Landkreis",504,755,431
"Bad Kissingen, Landkreis",450,728,359
"Rhön-Grabfeld, Landkreis",430,716,349
"Haßberge, Landkreis",467,730,358
"Kitzingen, Landkreis",462,717,358
"Miltenberg, Landkreis",426,734,381
"Main-Spessart, Landkreis",475,742,373
"Schweinfurt, Landkreis",470,726,363
"Würzburg, Landkreis",486,757,372
"Augsburg, kreisfreie Stadt",538,795,366
"Kaufbeuren, kreisfreie Stadt",468,763,400
"Kempten (Allgäu), kreisfreie Stadt",476,813,414
"Memmingen, kreisfreie Stadt",422,741,383
"Aichach-Friedberg, Landkreis",478,759,378
"Augsburg, Landkreis",478,778,387
"Dillingen an der Donau, Landkreis",502,760,354
"Günzburg, Landkreis",528,799,416
"Neu-Ulm, Landkreis",455,781,407
"Lindau (Bodensee), Landkreis",447,834,486
"Ostallgäu, Landkreis",467,758,385
"Unterallgäu, Landkreis",486,764,369
"Donau-Ries, Landkreis",472,758,366
"Oberallgäu, Landkreis",429,800,450
"Regionalverband Saarbrücken, Landkreis",500,801,382
"Merzig-Wadern, Landkreis",488,753,370
"Neunkirchen, Landkreis",490,767,360
"Saarlouis, Landkreis",493,767,373
Saarpfalz-Kreis,464,762,377
"Sankt Wendel, Landkreis",491,755,358
"Berlin, kreisfreie Stadt",530,848,409
"Brandenburg an der Havel, kreisfreie Stadt",440,743,371
"Cottbus, kreisfreie Stadt",457,739,362
"Frankfurt (Oder), kreisfreie Stadt",466,738,340
"Potsdam, kreisfreie Stadt",549,827,386
"Barnim, Landkreis",459,724,325
"Dahme-Spreewald, Landkreis",451,726,389
"Elbe-Elster, Landkreis",441,704,316
"Havelland, Landkreis",446,753,371
"Märkisch-Oderland, Landkreis",417,709,331
"Oberhavel, Landkreis",436,731,355
"Oberspreewald-Lausitz, Landkreis",434,709,326
"Oder-Spree, Landkreis",456,738,346
"Ostprignitz-Ruppin, Landkreis",473,726,310
"Potsdam-Mittelmark, Landkreis",431,757,396
"Prignitz, Landkreis",458,729,325
"Spree-Neiße, Landkreis",424,710,347
"Teltow-Fläming, Landkreis",437,723,359
"Uckermark, Landkreis",434,713,372
"Greifswald, kreisfreie Stadt (until 2011-09-03)",-,-,-
"Neubrandenburg, kreisfreie Stadt (until 2011-09-03",-,-,-
"Rostock, kreisfreie Stadt",474,762,372
"Schwerin, kreisfreie Stadt",545,754,293
"Stralsund, kreisfreie Stadt (until 2011-09-03)",-,-,-
"Wismar, kreisfreie Stadt (until 2011-09-03)",-,-,-
"Bad Doberan, Landkreis (until 2011-09-03)",-,-,-
"Demmin, Landkreis (until 2011-09-03)",-,-,-
"Güstrow, Landkreis (until 2011-09-03)",-,-,-
"Ludwigslust, Landkreis (until 2011-09-03)",-,-,-
"Mecklenburg-Strelitz, Landkreis (until 2011-09-03)",-,-,-
"Müritz, Landkreis (until 2011-09-03)",-,-,-
"Nordvorpommern, Landkreis (until 2011-09-03)",-,-,-
"Nordwestmecklenburg, Landkreis (until 2011-09-03)",-,-,-
"Ostvorpommern, Landkreis (until 2011-09-03)",-,-,-
"Parchim, Landkreis (until 2011-09-03)",-,-,-
"Rügen, Landkreis (until 2011-09-03)",-,-,-
"Uecker-Randow, Landkreis (until 2011-09-03)",-,-,-
"Mecklenburgische Seenplatte, Landkreis",443,733,351
