Landkreis,Income,Cases,Deaths,LK_Einwohner,Cases_Per_Million,Area,Avg_Age,Std_dev,<30,30-65,>65,Density,west(0)/east(1),c/p,firstcase,firstday
Germersheim,22212.0,147.0,5.0,129075.0,1138.8727484020915,463.32,44.47411582413325,23.98686192482717,39277.0,64183.0,25615.0,278.5871535871536,0.0,0.0011388727484020918,2.0,28.0
Gießen,20153.0,247.0,4.0,268876.0,918.6390752614587,854.56,43.18993699698003,23.97084418882091,93796.0,123028.0,52052.0,314.63677214004866,0.0,0.0009186390752614588,3.0,22.0
Gifhorn,23101.0,158.0,4.0,175920.0,898.1355161437018,1567.58,44.51847430650296,24.281204104709843,53415.0,87241.0,35264.0,112.22393753428852,0.0,0.0008981355161437017,2.0,28.0
Goslar,20269.000000000004,261.0,25.0,137014.0,1904.9148262221381,966.72,48.700096340519956,24.794076098438115,36986.0,62609.0,37419.0,141.7308010592519,0.0,0.001904914826222138,5.0,30.0
Gotha,18780.0,309.0,30.0,135452.0,2281.250922836133,936.08,47.79747807341346,24.521295591228213,33918.0,67567.0,33967.0,144.7013075805487,1.0,0.0022812509228361338,4.0,36.0
Grafschaft Bentheim,19439.0,249.0,18.0,136511.0,1824.0288328413092,981.79,44.27575433481551,24.399523007369215,43310.0,65149.0,28052.0,139.04297252976707,0.0,0.0018240288328413095,3.0,29.0
Greiz,19502.0,664.0,48.0,98159.0,6764.535091025785,845.98,50.81976690879085,24.59901698841001,20862.0,48655.0,28642.0,116.02992978557413,1.0,0.0067645350910257845,1.0,31.0
Groß-Gerau,20738.000000000004,546.0,14.0,274526.0,1988.8826559233005,453.03,43.3341031450573,24.117301063786353,88262.0,133486.0,52778.0,605.9775290819592,0.0,0.0019888826559233005,3.0,29.0
Göppingen,23985.0,784.0,39.0,257253.0,3047.583507286601,642.34,44.97562321916557,24.534996978095776,78916.0,122873.0,55464.0,400.4935081109692,0.0,0.003047583507286601,3.0,21.0
Görlitz,18287.0,269.0,23.0,254894.0,1055.3406514080364,2111.42,50.181826563198825,25.176153448479198,58951.0,120647.0,75296.0,120.72159968173078,1.0,0.0010553406514080363,6.0,27.0
Günzburg,23362.0,238.0,4.0,125747.0,1892.689288810071,762.4,43.99899401178558,23.99933589656279,39734.0,61640.0,24373.0,164.93572927597063,0.0,0.001892689288810071,2.0,30.0
Gütersloh,24271.0,1085.0,20.0,364083.0,2980.089704820055,969.21,43.87861833702755,24.31145734975021,116695.0,176355.0,71033.0,375.6492401027641,0.0,0.0029800897048200548,6.0,28.0
Hagen,19774.0,360.0,13.0,188814.0,1906.6382789411805,160.45,45.110611501265794,24.86857058950109,58953.0,87876.0,41985.0,1176.7778124026174,0.0,0.0019066382789411803,3.0,27.0
Hamburg,24421.0,5160.0,259.0,1841179.0,2802.5520603917385,755.09,42.5924494576573,23.74895270100123,601494.0,903430.0,336255.0,2438.357017044326,0.0,0.0028025520603917383,22.0,24.0
Hameln-Pyrmont,21292.0,133.0,7.0,148559.0,895.2672002369427,797.54,47.51704709913235,25.019750486752077,41477.0,69390.0,37692.0,186.2715349700329,0.0,0.0008952672002369428,2.0,29.0
Hamm,18006.0,500.0,36.0,179111.0,2791.565007174322,226.43,44.202516875010474,24.47536291627416,57661.0,84110.0,37340.0,791.0215077507397,0.0,0.002791565007174322,2.0,29.0
Harburg,24798.0,554.0,13.0,252776.0,2191.663765547362,1248.57,45.71840483273729,24.567619107346406,73136.0,123227.0,56413.0,202.45240555195144,0.0,0.002191663765547362,3.0,23.0
Harz,18785.0,258.0,4.0,214446.0,1203.1000811393078,2104.53,49.841202447236135,24.516172146252842,48660.0,105531.0,60255.0,101.89733574717394,1.0,0.0012031000811393079,8.0,34.0
Havelland,19437.0,179.0,6.0,161909.0,1105.5592956537314,1727.3,46.73719187938904,24.30303736485857,42226.0,83422.0,36261.0,93.73530944248249,1.0,0.0011055592956537314,2.0,22.0
Haßberge,21147.0,166.0,6.0,84599.0,1962.1981347297246,956.19,45.2641284175936,24.0465852027793,25052.0,41997.0,17550.0,88.47509386209852,0.0,0.001962198134729725,1.0,28.0
Heidekreis,20183.0,74.0,2.0,139755.0,529.4980501592072,1881.41,45.64017029802154,24.65741230767071,42137.0,66291.0,31327.0,74.28205441663431,0.0,0.0005294980501592072,2.0,35.0
Heidelberg,23189.0,313.0,7.0,160355.0,1951.9191793208813,108.89,40.801836550154356,22.971009572456182,61019.0,73085.0,26251.0,1472.6329323170169,0.0,0.0019519191793208818,2.0,21.0
Heidenheim,22034.000000000004,511.0,41.0,132472.0,3857.418926263663,627.14,45.03353916299294,24.693372931178132,40943.0,62604.0,28925.0,211.23194183117008,0.0,0.0038574189262636635,4.0,29.0
Heilbronn,24414.92954024023,1409.0,58.0,469028.0,3004.08504396326,1199.8000000000004,43.58116359790887,24.08450773345584,150359.0,228253.0,90416.0,390.9218203033838,0.0,0.00300408504396326,7.0,19.0
Heinsberg,19448.0,1923.0,79.0,254322.0,7561.280581310307,627.99,45.09852863692484,24.179351521050254,76355.0,124953.0,53014.0,404.977786270482,0.0,0.007561280581310307,3.0,14.0
