Landkreis,Cases,Deaths,Density,Income,<30,30-65,>65,west(0)/east(1),Day,DailyDeaths
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,25,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,26,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,27,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,28,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,29,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,30,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,31,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,32,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,33,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,34,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,35,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,36,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,37,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,38,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,39,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,40,0.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,41,1.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,42,2.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,43,3.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,44,3.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,45,3.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,46,4.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,47,8.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,48,8.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,49,8.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,50,9.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,51,9.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,52,9.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,53,10.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,54,16.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,55,18.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,56,18.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,57,19.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,58,19.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,59,19.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,60,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,61,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,62,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,63,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,64,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,65,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,66,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,67,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,68,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,69,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,70,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,71,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,72,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,73,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,74,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,75,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,76,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,77,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,78,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,79,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,80,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,81,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,82,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,83,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,84,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,85,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,86,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,87,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,88,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,89,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,90,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,91,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,92,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,93,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,94,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,95,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,96,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,97,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,98,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,99,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,100,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,101,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,102,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,103,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,104,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,105,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,106,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,107,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,108,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,109,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,110,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,111,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,112,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,113,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,114,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,115,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,116,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,117,20.0
Aichach-Friedberg,390.0,20.0,171.2242386957859,24748.0,41489.0,65623.0,26484.0,0.0,118,20.0
