Landkreis,Einwohner,Income,0-34,35-79,80+,Total_Cases,D(0-34),D(35-79),D(80+),Total_Deaths,Area,Density,Einwohner(0-34),Einwohner(35-79),Einwohner(80+),west(0)/east(1)
Gifhorn,17592.0,23101.0,48,106,4,158,1,1,2,4,1567.58,11.222393753428852,63980.0,93793.0,18147.0,0.0
Goslar,137014.0,20269.000000000004,52,171,38,261,0,7,18,25,966.72,141.7308010592519,43840.0,72676.0,20498.0,0.0
Gotha,135452.0,18780.0,76,170,64,310,0,8,22,30,936.08,144.70130758054867,42278.0,75503.0,17671.0,1.0
Grafschaft Bentheim,136511.0,19439.0,60,168,21,249,0,10,8,18,981.79,139.04297252976707,51196.0,71031.0,14284.0,0.0
Greiz,98159.0,19502.0,100,413,151,664,0,18,30,48,845.98,116.02992978557413,25873.0,56832.0,15454.0,1.0
Groß-Gerau,274526.0,20738.000000000004,172,346,28,546,0,7,7,14,453.03,605.9775290819592,106445.0,140813.0,27268.0,0.0
Göppingen,257253.0,23985.0,203,493,88,784,0,18,21,39,642.34,400.49350811096923,94679.0,132815.0,29759.0,0.0
Görlitz,254894.0,18287.0,52,153,64,269,0,5,18,23,2111.42,120.72159968173078,72613.0,140588.0,41693.0,1.0
Günzburg,125747.0,23362.0,66,150,22,238,0,2,2,4,762.4,164.93572927597063,47562.0,65618.0,12567.0,0.0
Gütersloh,364083.0,24271.0,473,1023,45,1541,1,7,12,20,969.21,375.6492401027641,138793.0,186844.0,38446.0,0.0
Hagen,188814.0,19774.0,119,194,47,360,0,3,10,13,160.45,1176.7778124026177,70178.0,95706.0,22930.0,0.0
Hamburg,1899160.0,24421.0,1701,2951,505,5157,1,106,152,259,755.09,2515.143890132302,755469.0,903855.0,181855.0,0.0
Hameln-Pyrmont,148559.0,21291.999999999996,34,81,18,133,0,3,4,7,797.54,186.27153497003286,49086.0,78602.0,20871.0,0.0
Hamm,179111.0,18006.0,123,309,78,510,0,10,26,36,226.43,791.0215077507397,68426.0,91153.0,19532.0,0.0
Harburg,252776.0,24798.0,215,278,61,554,0,1,12,13,1248.57,202.45240555195144,86491.0,136496.0,29789.0,0.0
Harz,214446.0,18785.0,127,126,5,258,0,4,0,4,2104.53,101.89733574717394,60919.0,121680.0,31847.0,1.0
Havelland,161909.0,19437.0,39,136,8,183,0,4,2,6,1727.3,93.73530944248249,51535.0,90979.0,19395.0,1.0
Haßberge,84599.0,21147.0,63,90,14,167,0,1,5,6,956.19,88.47509386209853,29981.0,45876.0,8742.0,0.0
Heidekreis,139755.0,20183.0,27,46,1,74,0,1,1,2,1881.41,74.28205441663432,50153.0,72714.0,16888.0,0.0
Heidelberg,160355.0,23189.0,132,165,16,313,0,3,4,7,108.89,1472.632932317017,76026.0,70383.0,13946.0,0.0
Heidenheim,132472.0,22034.000000000004,177,253,81,511,0,13,28,41,627.14,211.23194183117008,49002.0,67598.0,15872.0,0.0
Heilbronn,355664.0,24414.929540240228,360,903,146,1409,0,17,41,58,1199.8000000000002,296.43607267877974,181606.0,240191.0,47231.0,0.0
Heinsberg,254322.0,19448.0,529,1220,173,1922,0,31,48,79,627.99,404.977786270482,91143.0,136236.0,26943.0,0.0
Helmstedt,91307.0,22604.0,43,86,11,140,0,1,0,1,676.15,135.03956222731642,30446.0,49547.0,11314.0,0.0
Herford,250783.0,22061.999999999996,113,218,23,354,0,3,4,7,450.41,556.7882595857108,89470.0,130736.0,30577.0,0.0
Herne,156374.0,17579.0,80,127,11,218,0,1,1,2,51.42,3041.112407623493,57317.0,80996.0,18061.0,0.0
Hersfeld-Rotenburg,120829.0,20459.0,74,151,62,287,0,4,18,22,1097.74,110.07069069178493,41342.0,64140.0,15347.0,0.0
Herzogtum Lauenburg,197264.0,22961.0,76,166,24,266,0,9,7,16,1263.04,156.18191031162908,68099.0,104976.0,24189.0,0.0
Hildburghausen,63553.0,19529.0,12,48,9,69,0,1,0,1,938.42,67.72340742950918,18982.0,36356.0,8215.0,1.0
