sample_number,MFC6,MFC7,MFC8,MFC9,MFC10,MFC1,MFC2,MFC3,MFC4,MFC5
714.0,0.01,0.0156,0.0195,0.0551,0.1728,0.009,0.0129,0.0151,0.0291,0.0463
1060.0,0.0897,0.0643,0.0284,0.0126,0.0095,0.0858,0.0595,0.0269,0.012,0.0
834.0,0.025,0.0316,0.0257,0.0136,0.0215,0.0338,0.1505,0.0426,0.0161,0.007
552.0,0.0314,0.0483,0.0391,0.0205,0.0246,0.038,0.0826,0.0572,0.0221,0.0104
460.0,0.0425,0.0442,0.0251,0.0125,0.0252,0.0836,0.0928,0.0299,0.0133,0.0
1072.0,0.0477,0.1988,0.0319,0.0137,0.0116,0.0268,0.0271,0.0197,0.012,0.0089
476.0,0.0222,0.0454,0.05,0.0285,0.0326,0.0238,0.0475,0.0695,0.0313,0.0147
814.0,0.0481,0.0344,0.019,0.0,0.0187,0.1611,0.0454,0.017,0.0091,0.0
164.0,0.0633,0.0519,0.0259,0.0129,0.0285,0.0925,0.0588,0.0233,0.0133,0.0
404.0,0.042,0.0324,0.0167,0.0102,0.0297,0.1696,0.0388,0.0168,0.0115,0.0091
124.0,0.0,0.0119,0.0146,0.0342,0.1265,0.0,0.01,0.012,0.0315,0.1353
426.0,0.0546,0.0531,0.0277,0.0138,0.0268,0.0809,0.0723,0.0292,0.014,0.0
172.0,0.068,0.0464,0.0229,0.0123,0.0289,0.1151,0.0491,0.0198,0.0115,0.0054
,0.0121,0.0282,0.0883,0.1105,0.0248,0.012,0.02,0.0332,0.0377,0.0224
232.0,0.0217,0.047,0.0655,0.0367,0.0351,0.0199,0.0367,0.0543,0.0338,0.0172
68.0,0.0479,0.0369,0.0216,0.0149,0.0315,0.151,0.0429,0.0206,0.0145,0.0127
420.0,0.0128,0.0257,0.0373,0.0387,0.0419,0.0108,0.0254,0.0777,0.0656,0.0257
810.0,0.0087,0.0132,0.0199,0.0566,0.1268,0.0,0.0121,0.0161,0.0397,0.0751
228.0,0.0127,0.0286,0.0406,0.0346,0.0351,0.011,0.0312,0.0898,0.049,0.0201
190.0,0.0,0.0123,0.0156,0.043,0.1563,0.0,0.0093,0.0118,0.0327,0.0824
298.0,0.0167,0.0436,0.1276,0.0373,0.0346,0.0131,0.0224,0.0286,0.0233,0.0147
698.0,0.0,0.0128,0.0228,0.0637,0.0777,0.0,0.0109,0.0216,0.0651,0.0764
34.0,0.0274,0.0387,0.0291,0.0165,0.03,0.0342,0.0997,0.0521,0.0183,0.0092
