sample_number,x1,y1,x2,y2,MFC6,MFC7,MFC8,MFC9,MFC10,MFC1,MFC2,MFC3,MFC4,MFC5,total flow rate,Comments,mfc10_residual,Day,number of leakage,quality
213,10180,4600,2930,3850,0.1171,0.0722,0.09,0.1034,0.0467,0.0609,0.0468,0.0417,0.0393,0.0233,0.6414,,0.0238,5,2,
214,2930,3850,,,0.1111,0.0546,0.0216,0.0115,0.0274,0.0559,0.0362,0.0178,0.0111,0,0.3472,,0.0238,5,1,
215,2930,3850,11930,1600,0.1165,0.0641,0.0406,0.0523,0.0585,0.0598,0.0446,0.0452,0.1219,0.065,0.6685,,0.0238,5,2,
216,11930,1600,,,0,0.0166,0.0248,0.0468,0.0575,0,0.0143,0.0315,0.1164,0.0625,0.3704,,0.0238,5,1,
217,11930,1600,7930,350,0.0177,0.0339,0.0446,0.0598,0.0632,0.0185,0.0525,0.1556,0.1355,0.0691,0.6504,,0.0238,5,2,
218,7930,350,,,0.0165,0.0274,0.0275,0.0198,0.0295,0.0178,0.0464,0.1301,0.0264,0.0123,0.3537,,0.0238,5,1,
219,7930,350,6180,3100,0.0495,0.0938,0.0688,0.034,0.0333,0.0476,0.0878,0.1608,0.0392,0.017,0.6318,,0.0238,5,2,
220,6180,3100,,,0.0391,0.075,0.0479,0.0205,0.0285,0.0343,0.0483,0.0369,0.0193,0.0102,0.36,,0.0238,5,1,
221,6180,3100,4680,850,0.0693,0.1057,0.0647,0.0272,0.0301,0.0972,0.1405,0.0608,0.0265,0.0124,0.6344,,0.0238,5,2,
222,4680,850,,,,,,,,,,,,,0,outside,0.0238,5,1,
223,4680,850,930,3850,,,,,,,,,,,0,outside,0.0238,5,2,
224,930,3850,,,,,,,,,,,,,0,outside,0.0238,5,1,
225,930,3850,3180,2600,,,,,,,,,,,0,outside,0.0238,5,2,
226,3180,2600,,,0.1194,0.084,0.0367,0.0172,0.0284,0.1351,0.0806,0.0341,0.0167,0.0097,0.5619,high,0.0238,5,1,
227,3180,2600,8930,1600,0.1265,0.1046,0.0713,0.0457,0.0402,0.1428,0.1057,0.12,0.0598,0.025,0.8416,high,0.0238,5,2,
228,8930,1600,,,0.0127,0.0286,0.0406,0.0346,0.0351,0.011,0.0312,0.0898,0.049,0.0201,0.3527,,0.0238,5,1,
229,8930,1600,5930,1350,0.0407,0.0651,0.0661,0.0462,0.0403,0.0505,0.1145,0.1315,0.0617,0.0255,0.6421,,0.0238,5,2,
230,5930,1350,,,0.0299,0.0419,0.0298,0.0161,0.0269,0.0386,0.0871,0.0438,0.0174,0.0089,0.3404,,0.0238,5,1,
231,5930,1350,8180,2850,0.0465,0.0813,0.0896,0.0475,0.0383,0.0552,0.1181,0.0951,0.046,0.0216,0.6392,,0.0238,5,2,
232,8180,2850,,,0.0217,0.047,0.0655,0.0367,0.0351,0.0199,0.0367,0.0543,0.0338,0.0172,0.3679,,0.0238,5,1,
233,8180,2850,10180,2850,0.0283,0.0644,0.1072,0.091,0.057,0.0263,0.051,0.093,0.0807,0.0408,0.6397,,0.0238,5,2,
234,10180,2850,,,,,,,,,,,,,0,repeat,0.0238,5,1,
235,10180,2850,2680,5100,0.2962,0.0422,0.0532,0.0626,0.047,0.0244,0.0288,0.0464,0.0544,0.0294,0.6846,,0.0238,5,2,
236,2680,5100,,,0.286,0.0246,0.0115,0,0.0255,0.0172,0.0147,0,0,0,0.3795,,0.0238,5,1,
237,2680,5100,9430,2850,0.2938,0.0498,0.0675,0.0567,0.0424,0.0264,0.0347,0.0577,0.0505,0.0252,0.7047,needle change 1. sum seems to be higher after needle change,0.0238,5,2,
238,9430,2850,,,0.0125,0.0341,0.0629,0.0555,0.0427,0.0138,0.0272,0.0542,0.0493,0.025,0.3772,needle change 2. value seems to be higher after needle change,0.0238,5,1,
239,9430,2850,10180,3850,0.02,0.055,0.1294,0.1461,0.0678,0.0203,0.0411,0.0863,0.0876,0.0484,0.702,,0.0238,5,2,
240,10180,3850,,,0.0121,0.0307,0.0753,0.0988,0.0505,0.0121,0.0215,0.0377,0.0453,0.0292,0.4132,,0.0238,5,1,
241,10180,3850,6930,600,0.03,0.0596,0.1013,0.1128,0.0558,0.037,0.103,0.1153,0.0637,0.0358,0.7143,,0.0238,5,2,
242,6930,600,,,0.0228,0.038,0.0331,0.0206,0.0304,0.0301,0.0876,0.0816,0.0244,0.0119,0.3805,,0.0238,5,1,
243,6930,600,6430,4850,0.056,0.2102,0.1045,0.0375,0.0354,0.0531,0.1154,0.1065,0.0371,0.0175,0.7732,,0.0238,5,2,
244,6430,4850,,,0.0377,0.1798,0.0781,0.023,0.0299,0.0272,0.0345,0.0294,0.0185,0.0109,0.469,,0.0238,5,1,
245,6430,4850,11680,4850,,,,,,,,,,,0,outside,0.0238,5,2,
246,11680,4850,,,,,,,,,,,,,0,outside,0.0238,5,1,
247,11680,4850,13430,5100,,,,,,,,,,,0,outside,0.0238,5,2,
248,13430,5100,,,,,,,,,,,,,0,outside,0.0238,5,1,
249,13430,5100,8930,850,,,,,,,,,,,0,outside,0.0238,5,2,
250,8930,850,,,0.0127,0.0244,0.0304,0.0269,0.0335,0.0135,0.0298,0.1236,0.0444,0.0173,0.3565,,0.0238,5,1,
251,8930,850,2430,1850,0.0683,0.0596,0.0446,0.0319,0.0354,0.1281,0.0735,0.1385,0.0494,0.0191,0.6484,,0.0238,5,2,
252,2430,1850,,,0.0611,0.0437,0.021,0.0112,0.0268,0.1194,0.0505,0.0197,0.011,0,0.3644,,0.0238,5,1,
253,2430,1850,10430,2350,0.0679,0.0604,0.0586,0.0655,0.0516,0.1262,0.0654,0.0649,0.0753,0.0366,0.6724,,0.0238,5,2,
254,10430,2350,,,0.0123,0.025,0.0441,0.0601,0.05,0.0116,0.0216,0.0494,0.0699,0.0345,0.3785,,0.0238,5,1,
255,10430,2350,11680,850,0.0122,0.0283,0.0545,0.0813,0.0678,0.011,0.0252,0.0687,0.2372,0.067,0.6532,,0.0238,5,2,
256,11680,850,,,0,0.0138,0.0181,0.0284,0.0438,0,0.0122,0.0245,0.1726,0.0387,0.3521,,0.0238,5,1,
257,11680,850,11180,4600,0,0.02,0.047,0.1845,0.0653,0,0.0158,0.0378,0.1924,0.0553,0.6181,,0.0238,5,2,
258,11180,4600,,,0,0.0163,0.0365,0.1612,0.0476,0,0.0121,0.0184,0.0253,0.0224,0.3398,,0.0238,5,1,
259,11180,4600,7930,850,,,,,,,,,,,0,Not sure if I will be able to seal the leakage on y axis,0.0238,5,2,
260,7930,850,,,,,,,,,,,,,0,Not sure if I will be able to seal the leakage on y axis,0.0238,5,1,
261,7930,850,2680,2350,,,,,,,,,,,0,Not sure if I will be able to seal the leakage on y axis,0.0238,5,2,
262,2680,2350,,,0.0743,0.0498,0.0221,0.0092,0.0247,0.1035,0.0512,0.0201,0,0,0.3549,,0.0238,5,1,
263,2680,2350,1930,3350,0.1646,0.0925,0.0376,0.0144,0.0256,0.1793,0.0877,0.0348,0.0135,0,0.65,,0.0238,5,2,
264,,,,,,,,,,,,,,,0,repeat,0.0238,5,1,
265,1930,3350,15430,1850,0.097,0.0524,0.027,0.0324,0.1004,0.0832,0.0441,0.0244,0.0339,0.1667,0.6615,,0.0238,5,2,
266,15430,1850,,,0.0097,0.0136,0.0143,0.0285,0.0996,0.0095,0.0116,0.0121,0.0301,0.165,0.394,,0.0238,5,1,
267,15430,1850,11180,350,,,,,,,,,,,0,outside,0.0238,5,2,
268,11180,350,,,,,,,,,,,,,0,outside,0.0238,5,1,
269,11180,350,8680,600,,,,,,,,,,,0,outside,0.0238,5,2,
270,8680,600,,,0.01,0.0201,0.0248,0.0202,0.0316,0.0097,0.0275,0.1524,0.0318,0.0147,0.3428,,0.0238,5,1,
271,8680,600,1430,350,0.0521,0.0471,0.0359,0.0239,0.0324,0.1783,0.0638,0.163,0.0357,0.0157,0.6479,,0.0238,5,2,
272,1430,350,,,0.0454,0.0336,0.0176,0.0091,0.0268,0.1701,0.0415,0.0148,0.0085,0,0.3674,,0.0238,5,1,
273,1430,350,15930,2100,0.0449,0.0336,0.0204,0.0307,0.1119,0.1695,0.0416,0.0188,0.0315,0.1507,0.6536,,0.0238,5,2,
274,15930,2100,,,0,0.0118,0.0132,0.0291,0.1112,0,0.01,0.01,0.0298,0.1495,0.3646,,0.0238,5,1,
275,15930,2100,180,1100,,,,,,,,,,,0,outside,0.0238,5,2,
276,180,1100,,,,,,,,,,,,,0,outside,0.0238,5,1,
277,180,1100,8680,2850,,,,,,,,,,,0,outside,0.0238,5,2,
278,8680,2850,,,0.0149,0.0368,0.0624,0.0399,0.0373,0.0124,0.029,0.0505,0.0356,0.0191,0.3379,,0.0238,5,1,
279,8680,2850,15680,1350,0.0171,0.0396,0.0678,0.0591,0.0995,0.0151,0.0315,0.0565,0.0585,0.1891,0.6338,,0.0238,5,2,
280,15680,1350,,,0,0.0117,0.0129,0.0256,0.0884,0,0.0097,0.0098,0.0287,0.1759,0.3627,,0.0238,5,1,
281,15680,1350,15680,4100,0,0.0096,0.0161,0.0512,0.2598,0,0,0.0132,0.048,0.2461,0.644,,0.0238,5,2,
282,15680,4100,,,0,0.0025,0.0115,0.032,0.2011,0,0,0,0.0251,0.0786,0.3508,,0.0238,5,1,
283,15680,4100,15430,2100,0,0.006,0.0156,0.0537,0.2748,0,0,0.0126,0.0488,0.2133,0.6248,,0.0238,5,2,
284,15430,2100,,,0,0.0016,0.0114,0.0276,0.1033,0,0,0,0.0288,0.142,0.3147,,0.0238,5,1,
285,15430,2100,4430,350,0.0362,0.0374,0.026,0.0331,0.1051,0.0812,0.1097,0.03,0.035,0.1441,0.6378,,0.0238,5,2,
286,4430,350,,,0.0364,0.0369,0.0224,0.0128,0.0294,0.0814,0.109,0.0258,0.0128,0.0098,0.3767,,0.0238,5,1,
287,4430,350,8930,4100,0.0464,0.067,0.1219,0.0553,0.0389,0.0904,0.1252,0.0544,0.0356,0.0198,0.6549,,0.0238,5,2,
288,8930,4100,,,0.0159,0.0383,0.1065,0.0492,0.0371,0.0133,0.0228,0.0324,0.029,0.0174,0.3619,,0.0238,5,1,
289,8930,4100,13180,2100,0.0158,0.0412,0.1174,0.0883,0.0937,0.0127,0.0256,0.0458,0.0861,0.1109,0.6375,,0.0238,5,2,
290,,,,,,,,,,,,,,,0,repeat,0.0238,5,1,
291,13180,2100,12180,1100,0.0095,0.0194,0.035,0.0826,0.117,0,0.0168,0.0424,0.2085,0.1709,0.7021,,0.0238,5,2,
292,12180,1100,,,0,0.0141,0.022,0.042,0.0614,0,0.0122,0.0274,0.1489,0.0774,0.4054,,0.0238,5,1,
293,12180,1100,9930,850,0.013,0.027,0.0441,0.0639,0.0698,0.0119,0.0276,0.1015,0.196,0.0856,0.6404,,0.0238,5,2,
294,,,,,,,,,,,,,,,0,repeat,0.0238,5,1,
295,9930,850,12680,850,0.0126,0.026,0.0422,0.0625,0.0736,0.0114,0.0267,0.0979,0.174,0.106,0.6329,,0.0238,5,2,
296,12680,850,,,0,0.0127,0.0176,0.0344,0.059,0,0.0106,0.0196,0.1017,0.0851,0.3407,,0.0238,5,1,
297,12680,850,8430,4350,0.0154,0.05,0.1376,0.0648,0.0673,0.0111,0.0246,0.0435,0.1191,0.0936,0.627,,0.0238,5,2,
298,8430,4350,,,0.0167,0.0436,0.1276,0.0373,0.0346,0.0131,0.0224,0.0286,0.0233,0.0147,0.3619,,0.0238,5,1,
299,8430,4350,4430,4600,0.0954,0.1314,0.1484,0.0428,0.0352,0.0475,0.0493,0.043,0.0282,0.0156,0.6368,,0.0238,5,2,
300,4430,4600,,,0.0848,0.0966,0.0287,0.0129,0.0278,0.0385,0.0338,0.0193,0.0114,0,0.3538,,0.0238,5,1,
301,4430,4600,15430,5100,,,,,,,,,,,0,outside,0.0238,5,2,
302,15430,5100,,,,,,,,,,,,,0,outside,0.0238,5,1,
303,15430,5100,1430,600,,,,,,,,,,,0,outside,0.0238,5,2,
304,1430,600,,,0.0453,0.0329,0.0162,0.0037,0.0254,0.1581,0.0404,0.0146,0,0,0.3366,,0.0238,5,1,
305,1430,600,3180,1350,0.088,0.0642,0.0288,0.0119,0.0251,0.2659,0.0924,0.0301,0.0118,0,0.6182,,0.0238,5,2,
306,3180,1350,,,0.0507,0.0419,0.0214,0.0115,0.0259,0.1162,0.0592,0.021,0.0106,0,0.3584,,0.0238,5,1,
307,3180,1350,13430,3100,0.0504,0.0444,0.0335,0.0726,0.1297,0.1161,0.0616,0.0334,0.0556,0.0915,0.6888,,0.0238,5,2,
308,13430,3100,,,0.0105,0.0164,0.0224,0.0688,0.1282,0.0091,0.0127,0.0192,0.0513,0.094,0.4326,,0.0238,5,1,
309,13430,3100,11930,600,0,0.0154,0.0284,0.0864,0.1446,0,0.0126,0.0322,0.2154,0.1245,0.6595,,0.0238,5,2,
310,11930,600,,,0,0.0107,0.014,0.0241,0.0427,0,0.0089,0.0178,0.1681,0.0404,0.3267,,0.0238,5,1,
311,11930,600,9930,1850,0.01,0.0257,0.0468,0.0626,0.0604,0,0.024,0.0773,0.2303,0.0629,0.6,,0.0238,5,2,
312,9930,1850,,,0.0116,0.0243,0.0391,0.044,0.0427,0.0101,0.0227,0.0635,0.0648,0.0272,0.35,,0.0238,5,1,
313,9930,1850,5680,2850,0.0509,0.0871,0.0736,0.0567,0.0472,0.0484,0.0715,0.0952,0.0775,0.0323,0.6404,,0.0238,5,2,
314,5680,2850,,,0.0439,0.0696,0.0394,0.018,0.0293,0.0406,0.054,0.0344,0.0155,0.0097,0.3544,,0.0238,5,1,
315,5680,2850,1680,4350,,,,,,,,,,,0,outside,0.0238,5,2,
316,1680,4350,,,,,,,,,,,,,0,outside,0.0238,5,1,
317,1680,4350,4680,1850,,,,,,,,,,,0,outside,0.0238,5,2,
318,4680,1850,,,0.0508,0.0552,0.0293,0.0132,0.0234,0.0702,0.0806,0.0327,0.0135,0,0.3689,Observed residual leakage of 0.0238 on port 10,0.0238,6,1,
319,4680,1850,4930,2850,0.1078,0.1261,0.0629,0.0268,0.0286,0.1246,0.1377,0.0635,0.026,0.0118,0.7158,Changed 1 needle,0.0238,6,2,
320,4930,2850,,,0.0625,0.0789,0.0387,0.0181,0.0272,0.0585,0.0628,0.0346,0.0168,0.0093,0.4074,,0.0238,6,1,
321,4930,2850,10430,4350,0.0673,0.0943,0.0945,0.1163,0.0484,0.0631,0.0728,0.0578,0.0459,0.0283,0.6887,,0.0238,6,2,
322,10430,4350,,,0.0097,0.0234,0.0618,0.104,0.0454,0,0.0158,0.0274,0.0346,0.0239,0.346,,0.0238,6,1,
323,10430,4350,5430,3600,0.0703,0.1332,0.106,0.118,0.0505,0.0531,0.0639,0.0591,0.0474,0.0295,0.731,,0.0238,6,2,
324,5430,3600,,,0.0645,0.1168,0.0499,0.0198,0.0292,0.0475,0.0531,0.035,0.018,0.01,0.4438,,0.0238,6,1,
325,5430,3600,6430,2350,0.0932,0.1677,0.0881,0.0348,0.0329,0.0784,0.1073,0.0785,0.0333,0.0149,0.7291,,0.0238,6,2,
326,6430,2350,,,0.0354,0.0607,0.0451,0.0222,0.0301,0.0361,0.0608,0.0482,0.0216,0.0114,0.3716,,0.0238,6,1,
327,6430,2350,8180,4600,0.0462,0.0996,0.182,0.0455,0.0356,0.0446,0.0762,0.0699,0.0357,0.0175,0.6528,sum seemed high. Couldnt figure out the issue,0.0238,6,2,
328,8180,4600,,,0.0207,0.0516,0.1474,0.0327,0.032,0.0173,0.0248,0.0284,0.0218,0.0133,0.39,,0.0238,6,1,
329,8180,4600,7180,2350,0.0381,0.0926,0.1889,0.0503,0.0353,0.0347,0.0667,0.0788,0.0406,0.0189,0.6449,verified for zero leakage before this observation,0.0238,6,2,
330,7180,2350,,,0.0277,0.0533,0.0492,0.0257,0.0303,0.0271,0.0519,0.0572,0.0261,0.0124,0.3609,,0.0238,6,1,
331,7180,2350,4430,2850,0.0874,0.113,0.0736,0.0345,0.0339,0.0844,0.1014,0.0802,0.0344,0.0159,0.6587,,0.0238,6,2,
332,4430,2850,,,0.0649,0.068,0.0296,0.0142,0.0271,0.0607,0.0557,0.0278,0.0136,0,0.3616,,0.0238,6,1,
333,4430,2850,14680,2350,0.0653,0.0699,0.0358,0.0426,0.1133,0.0609,0.0573,0.0347,0.0437,0.1346,0.6581,,0.0238,6,2,
334,14680,2350,,,0.0092,0.0139,0.0142,0.0358,0.1114,0.0097,0.0124,0.0146,0.0373,0.1323,0.3908,,0.0238,6,1,
335,14680,2350,5680,100,0.0129,0.0205,0.0186,0.0369,0.1116,0.0191,0.1931,0.0318,0.0394,0.1308,0.6147,had a leakage. Solved with 2 step method,0.0238,6,2,
336,5680,100,,,0.0166,0.0226,0.0156,0.0107,0.0273,0.0231,0.1934,0.0272,0.0115,0,0.348,,0.0238,6,1,
337,5680,100,10680,4100,0.0212,0.0366,0.0624,0.1157,0.051,0.0275,0.2019,0.0502,0.043,0.0281,0.6376,,0.0238,6,2,
338,10680,4100,,,0.0117,0.0236,0.0529,0.1116,0.0502,0.0099,0.0146,0.0282,0.0378,0.0267,0.3672,,0.0238,6,1,
339,10680,4100,7680,1100,0.0236,0.0485,0.0816,0.1283,0.0568,0.0244,0.061,0.1199,0.0612,0.0349,0.6402,,0.0238,6,2,
340,7680,1100,,,0.0215,0.0364,0.0352,0.0242,0.033,0.0233,0.0534,0.0976,0.0303,0.0142,0.3691,,0.0238,6,1,
341,7680,1100,15930,5100,,,,,,,,,,,0,outside,0.0238,6,2,
342,15930,5100,,,,,,,,,,,,,0,outside,0.0238,6,1,
343,15930,5100,12930,850,,,,,,,,,,,0,outside,0.0238,6,2,
344,12930,850,,,0,0.012,0.0155,0.0341,0.0619,0,0,0.0189,0.0897,0.1,0.3321,,0.0238,6,1,
345,12930,850,14180,2100,0,0.0125,0.0217,0.0639,0.1302,0,0.087,0.0268,0.1268,0.2319,0.7008,,0.0238,6,2,
346,14180,2100,,,0,0.011,0.0134,0.0364,0.0959,0,0,0.0132,0.043,0.1388,0.3517,,0.0238,6,1,
347,14180,2100,5930,3600,0.0438,0.0971,0.0537,0.0484,0.0991,0.0323,0.0413,0.0394,0.0535,0.1431,0.6517,,0.0238,6,2,
348,5930,3600,,,0.0441,0.0952,0.0464,0.0179,0.0283,0.0333,0.0403,0.0309,0.0159,0,0.3523,,0.0238,6,1,
349,5930,3600,4930,100,0.0664,0.1185,0.0596,0.0226,0.0286,0.0851,0.186,0.0521,0.0214,0.0094,0.6497,,0.0238,6,2,
350,4930,100,,,0.0305,0.0339,0.0203,0.0122,0.0271,0.0577,0.1513,0.0272,0.0125,0,0.3727,,0.0238,6,1,
351,4930,100,1930,2100,0.0892,0.0673,0.0314,0.0142,0.026,0.1668,0.1889,0.0395,0.0148,0,0.6381,,0.0238,6,2,
352,1930,2100,,,0.0669,0.0447,0.02,0.0105,0.0258,0.1169,0.0455,0.0194,0.0108,0,0.3605,,0.0238,6,1,
353,1930,2100,14680,3350,0.066,0.0445,0.0236,0.0406,0.1471,0.1161,0.0453,0.0237,0.0354,0.0964,0.6387,,0.0238,6,2,
354,,,,,,,,,,,,,,,0,repeat,0.0238,6,1,
355,14680,3350,14180,4350,0.0094,0.0155,0.0204,0.0732,0.3409,0.0023,0.0109,0.0186,0.0491,0.1247,0.665,,0.0238,6,2,
356,14180,4350,,,0,0.0112,0.0129,0.0403,0.2042,0,0,0.0109,0.0235,0.0436,0.3466,,0.0238,6,1,
357,14180,4350,13930,5100,,,,,,,,,,,0,outside,0.0238,6,2,
358,13930,5100,,,,,,,,,,,,,0,outside,0.0238,6,1,
359,13930,5100,2930,100,,,,,,,,,,,0,outside,0.0238,6,2,
360,2930,100,,,0.0329,0.0278,0.0134,0,0.0254,0.1836,0.0453,0.0147,0,0,0.3431,,0.0238,6,1,
361,2930,100,6430,1100,0.0545,0.0608,0.0381,0.0177,0.0255,0.2116,0.1292,0.0696,0.0209,0,0.6279,,0.0238,6,2,
362,6430,1100,,,0.0291,0.0427,0.0323,0.0184,0.0279,0.035,0.0896,0.0605,0.0207,0.0096,0.3658,,0.0238,6,1,
363,6430,1100,10680,100,,,,,,,,,,,0,outside,0.0238,6,2,
364,10680,100,,,,,,,,,,,,,0,outside,0.0238,6,1,
365,10680,100,5680,3600,,,,,,,,,,,0,outside,0.0238,6,2,
366,5680,3600,,,0.0476,0.095,0.0424,0.0166,0.0269,0.0339,0.0402,0.0292,0.025,0,0.3568,,0.0238,6,1,
367,5680,3600,4680,5100,0.1204,0.2062,0.0653,0.0224,0.0278,0.0643,0.0655,0.0437,0.0204,0.0092,0.6452,,0.0238,6,2,
368,4680,5100,,,0.0803,0.1216,0.0303,0.0136,0.0268,0.0358,0.0321,0.0208,0.0124,0,0.3737,,0.0238,6,1,
369,4680,5100,5680,1100,0.1046,0.1531,0.0501,0.0205,0.0273,0.0743,0.1306,0.058,0.0211,0.009,0.6486,,0.0238,6,2,
370,5680,1100,,,0.0323,0.0422,0.0278,0.0151,0.0269,0.0444,0.1055,0.0434,0.0164,0,0.354,,0.0238,6,1,
371,5680,1100,14680,850,,,,,,,,,,,0,outside,0.0238,6,2,
372,14680,850,,,,,,,,,,,,,0,outside,0.0238,6,1,
373,14680,850,1930,4850,,,,,,,,,,,0,outside,0.0238,6,2,
374,1930,4850,,,,,,,,,,,,,0,outside,0.0238,6,1,
375,1930,4850,15430,2100,,,,,,,,,,,0,outside,0.0238,6,2,
376,,,,,,,,,,,,,,,0,repeat,0.0238,6,1,
377,15430,2100,1430,3350,,,,,,,,,,,0,outside,0.0238,6,2,
378,1430,3350,,,,,,,,,,,,,0,outside,0.0238,6,1,
379,1430,3350,2180,100,,,,,,,,,,,0,outside,0.0238,6,2,
380,2180,100,,,0.0307,0.0259,0.0143,0.009,0.0254,0.2111,0.0306,0.0135,0.0089,0,0.3694,,0.0238,6,1,
381,2180,100,3930,3850,0.1195,0.0923,0.0332,0.0136,0.0257,0.253,0.063,0.0287,0.0132,0,0.6422,,0.0238,6,2,
382,3930,3850,,,0.0966,0.0773,0.0275,0.0121,0.0255,0.0492,0.0401,0.022,0.0117,0,0.362,,0.0238,6,1,
383,3930,3850,1180,2850,,,,,,,,,,,0,outside,0.0238,6,2,
384,,,,,,,,,,,,,,,0,repeat,0.0238,6,1,
385,1180,2850,7180,1850,,,,,,,,,,,0,outside,0.0238,6,2,
386,7180,1850,,,0.0265,0.046,0.0416,0.0229,0.0287,0.0259,0.0575,0.0658,0.0253,0.0112,0.3514,,0.0238,6,1,
387,7180,1850,6680,3350,0.0546,0.1168,0.0953,0.0411,0.0357,0.0497,0.0947,0.1012,0.0412,0.0185,0.6488,,0.0238,6,2,
388,6680,3350,,,0.0343,0.0786,0.0586,0.0229,0.0297,0.0267,0.042,0.0388,0.0204,0.017,0.369,,0.0238,6,1,
389,6680,3350,13180,2600,0.0357,0.0835,0.0723,0.0731,0.1,0.0279,0.046,0.0533,0.0717,0.094,0.6575,,0.0238,6,2,
390,,,,,,,,,,,,,,,0,repeat,0.0238,6,1,
391,13180,2600,12430,3600,0.0114,0.0214,0.0397,0.1487,0.1572,0.0089,0.0165,0.0358,0.0963,0.1344,0.6703,,0.0238,6,2,
392,12430,3600,,,0,0.0146,0.0249,0.0988,0.0905,0,0.0107,0.0201,0.0452,0.0523,0.3571,,0.0238,6,1,
393,12430,3600,8930,4850,0.0121,0.0358,0.1703,0.1319,0.0968,0,0.0197,0.0383,0.0603,0.0595,0.6247,,0.0238,6,2,
394,8930,4850,,,0.0125,0.0316,0.1525,0.0435,0.0355,0,0.017,0.0242,0.0152,0,0.332,,0.0238,6,1,
395,8930,4850,4680,2350,0.0612,0.0841,0.1756,0.0511,0.0368,0.065,0.0742,0.0499,0.031,0.0171,0.646,,0.0238,6,2,
396,4680,2350,,,0.0542,0.0604,0.0292,0.0142,0.0279,0.059,0.0628,0.0302,0.0143,0,0.3522,,0.0238,6,1,
397,4680,2350,12930,600,,,,,,,,,,,0,outside,0.0238,6,2,
398,12930,600,,,,,,,,,,,,,0,outside,0.0238,6,1,
399,12930,600,13930,2850,,,,,,,,,,,0,outside,0.0238,6,2,
400,13930,2850,,,0,0.0107,0.0143,0.0462,0.1187,0,0,0.0136,0.0412,0.0949,0.3396,,0.0238,6,1,
401,13930,2850,11430,4600,0,0.0143,0.0336,0.2312,0.1374,0,0.0099,0.0232,0.0583,0.1097,0.6176,,0.0238,6,2,
402,11430,4600,,,0,0.014,0.0261,0.1913,0.047,0,0.0096,0.0154,0.0243,0.0215,0.3492,,0.0238,6,1,
403,11430,4600,1680,350,0.0429,0.0364,0.0345,0.1915,0.0463,0.1707,0.0414,0.0252,0.0264,0.0211,0.6364,,0.0238,6,2,
404,1680,350,,,0.042,0.0324,0.0167,0.0102,0.0297,0.1696,0.0388,0.0168,0.0115,0.0091,0.3768,,0.0238,6,1,
405,1680,350,13430,2600,0.0424,0.0348,0.0257,0.0523,0.1,0.1698,0.04,0.0273,0.055,0.0942,0.6415,,0.0238,6,2,
406,13430,2600,,,0.0094,0.0146,0.0182,0.0499,0.0993,0,0.0117,0.0181,0.0522,0.093,0.3664,,0.0238,6,1,
407,13430,2600,7680,4100,0.0223,0.0666,0.1049,0.072,0.1056,0.0154,0.0302,0.0446,0.0675,0.1,0.6291,,0.0238,6,2,
408,7680,4100,,,0.0229,0.0639,0.0942,0.0281,0.0331,0.017,0.0282,0.0329,0.0224,0.0132,0.3559,,0.0238,6,1,
409,7680,4100,6680,4100,0.0491,0.1503,0.1526,0.0425,0.0362,0.0373,0.0556,0.059,0.0344,0.0173,0.6343,,0.0238,6,2,
410,6680,4100,,,0.0342,0.0966,0.0659,0.0213,0.0311,0.0253,0.0347,0.0316,0.0192,0.0115,0.3714,,0.0238,6,1,
411,6680,4100,14680,850,,,,,,,,,,,0,outside,0.0238,6,2,
412,,,,,,,,,,,,,,,0,repeat,0.0238,6,1,
413,14680,850,10680,4350,,,,,,,,,,,0,outside,0.0238,6,2,
414,10680,4350,,,0.0128,0.0238,0.0534,0.1142,0.0479,0.0105,0.0168,0.0266,0.0343,0.0233,0.3636,,0.0238,6,1,
415,10680,4350,11180,2350,0.0116,0.03,0.078,0.1676,0.0776,0.0053,0.0222,0.0569,0.1039,0.0611,0.6142,,0.0238,6,2,
416,11180,2350,,,0.0098,0.0194,0.0327,0.0602,0.0568,0,0.0163,0.0374,0.0764,0.0425,0.3515,,0.0238,6,1,
417,11180,2350,14430,3350,0,0.0201,0.0392,0.0942,0.183,0,0.0166,0.0437,0.1022,0.1165,0.6155,,0.0238,6,2,
418,,,,,,,,,,,,,,,0,repeat,0.0238,6,1,
419,14430,3350,9680,1600,0.0127,0.0281,0.0451,0.0735,0.169,0.01,0.027,0.0856,0.0922,0.0997,0.6429,,0.0238,6,2,
420,9680,1600,,,0.0128,0.0257,0.0373,0.0387,0.0419,0.0108,0.0254,0.0777,0.0656,0.0257,0.3616,,0.0238,6,1,
421,9680,1600,2180,1850,0.0707,0.0612,0.0508,0.0426,0.0421,0.1319,0.0679,0.0924,0.0702,0.0265,0.6563,,0.0238,6,2,
422,2180,1850,,,0.0637,0.0445,0.0208,0.0113,0.0285,0.1244,0.0495,0.0204,0.0118,0,0.3749,,0.0238,6,1,
423,2180,1850,14180,3350,0.061,0.0441,0.0275,0.0566,0.1757,0.1197,0.0487,0.0274,0.0436,0.0942,0.6985,,0.0238,6,2,
424,14180,3350,,,0,0,0.0122,0.0452,0.1469,0,0,0.0101,0.0335,0.0786,0.3265,Observed residual leakage of 0.0218 on port 10,0.0218,7,1,
425,14180,3350,4180,1850,0.0671,0.0663,0.0408,0.0557,0.1516,0.1006,0.0913,0.0432,0.0444,0.0829,0.7439,,0.0218,7,2,
